,LOCATION,VARIABLE,TIME,Value
130,FIN,GDPVD_CAP,2036,55606.8
131,FIN,GDPVD_CAP,2037,56483.9
132,FIN,GDPVD_CAP,2038,57394.41
133,FIN,GDPVD_CAP,2039,58327.38
134,FIN,GDPVD_CAP,2040,59278.3
135,FIN,GDPVD_CAP,2041,60247.57
136,FIN,GDPVD_CAP,2042,61235.68
137,FIN,GDPVD_CAP,2043,62243.65
138,FIN,GDPVD_CAP,2044,63272.12
139,FIN,GDPVD_CAP,2045,64319.76
140,FIN,GDPVD_CAP,2046,65387.43
141,FIN,GDPVD_CAP,2047,66467.25
142,FIN,GDPVD_CAP,2048,67563.64
143,FIN,GDPVD_CAP,2049,68675.75
144,FIN,GDPVD_CAP,2050,69801.84
145,FRA,GDPVD_CAP,2022,42932.2490381587
146,FRA,GDPVD_CAP,2023,43177.9105604648
147,FRA,GDPVD_CAP,2024,43388.3727217096
148,FRA,GDPVD_CAP,2025,43784.6068161537
149,FRA,GDPVD_CAP,2026,44435.48
150,FRA,GDPVD_CAP,2027,45097.37
151,FRA,GDPVD_CAP,2028,45714.79
152,FRA,GDPVD_CAP,2029,46296.56
153,FRA,GDPVD_CAP,2030,46863.26
154,FRA,GDPVD_CAP,2031,47430.2
155,FRA,GDPVD_CAP,2032,48001.34
156,FRA,GDPVD_CAP,2033,48583.55
157,FRA,GDPVD_CAP,2034,49175.04
158,FRA,GDPVD_CAP,2035,49783.39
159,FRA,GDPVD_CAP,2036,50406.74
160,FRA,GDPVD_CAP,2037,51048.83
161,FRA,GDPVD_CAP,2038,51703.59
162,FRA,GDPVD_CAP,2039,52373.05
163,FRA,GDPVD_CAP,2040,53058.64
164,FRA,GDPVD_CAP,2041,53759.52
165,FRA,GDPVD_CAP,2042,54476.54
166,FRA,GDPVD_CAP,2043,55209.74
167,FRA,GDPVD_CAP,2044,55959.05
168,FRA,GDPVD_CAP,2045,56722.09
169,FRA,GDPVD_CAP,2046,57502.91
170,FRA,GDPVD_CAP,2047,58300.57
171,FRA,GDPVD_CAP,2048,59120.54
172,FRA,GDPVD_CAP,2049,59962.54
173,FRA,GDPVD_CAP,2050,60825.57
174,DEU,GDPVD_CAP,2022,50135.6470868177
175,DEU,GDPVD_CAP,2023,49808.8151133743
176,DEU,GDPVD_CAP,2024,49987.0227892742
177,DEU,GDPVD_CAP,2025,50504.5745596267
178,DEU,GDPVD_CAP,2026,51071.91
179,DEU,GDPVD_CAP,2027,51624.97
180,DEU,GDPVD_CAP,2028,52111.52
181,DEU,GDPVD_CAP,2029,52558.59
182,DEU,GDPVD_CAP,2030,53011.25
183,DEU,GDPVD_CAP,2031,53498.48
184,DEU,GDPVD_CAP,2032,54032.3
185,DEU,GDPVD_CAP,2033,54623.34
186,DEU,GDPVD_CAP,2034,55252.69
187,DEU,GDPVD_CAP,2035,55950.46
188,DEU,GDPVD_CAP,2036,56717.69
189,DEU,GDPVD_CAP,2037,57546.74
190,DEU,GDPVD_CAP,2038,58433.01
191,DEU,GDPVD_CAP,2039,59365.71
192,DEU,GDPVD_CAP,2040,60336.26
193,DEU,GDPVD_CAP,2041,61334.52
194,DEU,GDPVD_CAP,2042,62349.24
195,DEU,GDPVD_CAP,2043,63374.42
196,DEU,GDPVD_CAP,2044,64404.39
197,DEU,GDPVD_CAP,2045,65432.91
198,DEU,GDPVD_CAP,2046,66460.74
199,DEU,GDPVD_CAP,2047,67489.58
200,DEU,GDPVD_CAP,2048,68520.54
201,DEU,GDPVD_CAP,2049,69557.36
202,DEU,GDPVD_CAP,2050,70598.88
203,GRC,GDPVD_CAP,2022,29784.4712799396
204,GRC,GDPVD_CAP,2023,30631.3393013115
205,GRC,GDPVD_CAP,2024,31392.6796643604
206,GRC,GDPVD_CAP,2025,32285.0693822977
207,GRC,GDPVD_CAP,2026,33265.74
208,GRC,GDPVD_CAP,2027,34248.0
209,GRC,GDPVD_CAP,2028,35194.55
210,GRC,GDPVD_CAP,2029,36102.68
211,GRC,GDPVD_CAP,2030,36984.34
212,GRC,GDPVD_CAP,2031,37851.26
213,GRC,GDPVD_CAP,2032,38701.95
214,GRC,GDPVD_CAP,2033,39541.13
215,GRC,GDPVD_CAP,2034,40367.33
216,GRC,GDPVD_CAP,2035,41185.99
217,GRC,GDPVD_CAP,2036,41998.08
218,GRC,GDPVD_CAP,2037,42801.29
219,GRC,GDPVD_CAP,2038,43600.26
220,GRC,GDPVD_CAP,2039,44392.09
221,GRC,GDPVD_CAP,2040,45177.31
222,GRC,GDPVD_CAP,2041,45960.29
223,GRC,GDPVD_CAP,2042,46743.73
224,GRC,GDPVD_CAP,2043,47530.48
225,GRC,GDPVD_CAP,2044,48320.39
226,GRC,GDPVD_CAP,2045,49117.84
227,GRC,GDPVD_CAP,2046,49935.92
228,GRC,GDPVD_CAP,2047,50781.23
229,GRC,GDPVD_CAP,2048,51663.57
230,GRC,GDPVD_CAP,2049,52592.23
231,GRC,GDPVD_CAP,2050,53570.31
232,HUN,GDPVD_CAP,2022,34278.112155071
233,HUN,GDPVD_CAP,2023,34187.1326687191
234,HUN,GDPVD_CAP,2024,35068.9905536902
235,HUN,GDPVD_CAP,2025,36094.4518154197
236,HUN,GDPVD_CAP,2026,37170.61
237,HUN,GDPVD_CAP,2027,38270.98
238,HUN,GDPVD_CAP,2028,39378.97
239,HUN,GDPVD_CAP,2029,40468.97
240,HUN,GDPVD_CAP,2030,41527.94
241,HUN,GDPVD_CAP,2031,42572.32
242,HUN,GDPVD_CAP,2032,43598.97
243,HUN,GDPVD_CAP,2033,44610.77
244,HUN,GDPVD_CAP,2034,45604.44
245,HUN,GDPVD_CAP,2035,46587.47
246,HUN,GDPVD_CAP,2036,47559.45
247,HUN,GDPVD_CAP,2037,48518.1
248,HUN,GDPVD_CAP,2038,49468.71
249,HUN,GDPVD_CAP,2039,50394.35
250,HUN,GDPVD_CAP,2040,51303.66
251,HUN,GDPVD_CAP,2041,52208.17
252,HUN,GDPVD_CAP,2042,53116.34
253,HUN,GDPVD_CAP,2043,54039.75
254,HUN,GDPVD_CAP,2044,54981.72
255,HUN,GDPVD_CAP,2045,55949.02
256,HUN,GDPVD_CAP,2046,56939.36
257,HUN,GDPVD_CAP,2047,57956.15
258,HUN,GDPVD_CAP,2048,58990.47
259,HUN,GDPVD_CAP,2049,60037.19
260,HUN,GDPVD_CAP,2050,61086.09
261,ISL,GDPVD_CAP,2022,52687.2868650913
262,ISL,GDPVD_CAP,2023,54149.196584968
263,ISL,GDPVD_CAP,2024,54220.0237855519
264,ISL,GDPVD_CAP,2025,54524.505417684
265,ISL,GDPVD_CAP,2026,55086.96
266,ISL,GDPVD_CAP,2027,55783.21
267,ISL,GDPVD_CAP,2028,56511.82
268,ISL,GDPVD_CAP,2029,57247.12
269,ISL,GDPVD_CAP,2030,57987.89
270,ISL,GDPVD_CAP,2031,58751.32
271,ISL,GDPVD_CAP,2032,59535.4
272,ISL,GDPVD_CAP,2033,60345.33
273,ISL,GDPVD_CAP,2034,61172.61
274,ISL,GDPVD_CAP,2035,62028.0
275,ISL,GDPVD_CAP,2036,62911.94
276,ISL,GDPVD_CAP,2037,63816.58
277,ISL,GDPVD_CAP,2038,64743.66
278,ISL,GDPVD_CAP,2039,65697.17
279,ISL,GDPVD_CAP,2040,66674.2
280,ISL,GDPVD_CAP,2041,67674.6
281,ISL,GDPVD_CAP,2042,68697.2
282,ISL,GDPVD_CAP,2043,69737.23
283,ISL,GDPVD_CAP,2044,70792.39
284,ISL,GDPVD_CAP,2045,71860.22
285,ISL,GDPVD_CAP,2046,72937.35
286,ISL,GDPVD_CAP,2047,74027.89
287,ISL,GDPVD_CAP,2048,75130.85
288,ISL,GDPVD_CAP,2049,76239.45
289,ISL,GDPVD_CAP,2050,77359.23
290,IRL,GDPVD_CAP,2022,109183.148626456
291,IRL,GDPVD_CAP,2023,107256.525227925
292,IRL,GDPVD_CAP,2024,108976.427403684
293,IRL,GDPVD_CAP,2025,111274.777695898
294,IRL,GDPVD_CAP,2026,113339.7
295,IRL,GDPVD_CAP,2027,115502.0
296,IRL,GDPVD_CAP,2028,117613.4
297,IRL,GDPVD_CAP,2029,119623.9
298,IRL,GDPVD_CAP,2030,121538.5
299,IRL,GDPVD_CAP,2031,123390.7
300,IRL,GDPVD_CAP,2032,125178.2
301,IRL,GDPVD_CAP,2033,126902.9
302,IRL,GDPVD_CAP,2034,128492.5
303,IRL,GDPVD_CAP,2035,130015.2
304,IRL,GDPVD_CAP,2036,131475.6
305,IRL,GDPVD_CAP,2037,132869.8
306,IRL,GDPVD_CAP,2038,134190.5
307,IRL,GDPVD_CAP,2039,135454.7
308,IRL,GDPVD_CAP,2040,136661.4
309,IRL,GDPVD_CAP,2041,137824.9
310,IRL,GDPVD_CAP,2042,138949.5
311,IRL,GDPVD_CAP,2043,140043.2
312,IRL,GDPVD_CAP,2044,141104.5
313,IRL,GDPVD_CAP,2045,142151.3
314,IRL,GDPVD_CAP,2046,143215.6
315,IRL,GDPVD_CAP,2047,144311.6
316,IRL,GDPVD_CAP,2048,145461.3
317,IRL,GDPVD_CAP,2049,146684.3
318,IRL,GDPVD_CAP,2050,147991.4
319,ITA,GDPVD_CAP,2022,40627.2898170579
320,ITA,GDPVD_CAP,2023,40880.0182508859
321,ITA,GDPVD_CAP,2024,41151.3747727352
322,ITA,GDPVD_CAP,2025,41649.9628928032
323,ITA,GDPVD_CAP,2026,41981.89
324,ITA,GDPVD_CAP,2027,42315.79
325,ITA,GDPVD_CAP,2028,42688.5
326,ITA,GDPVD_CAP,2029,43097.5
327,ITA,GDPVD_CAP,2030,43538.01
328,ITA,GDPVD_CAP,2031,44005.92
329,ITA,GDPVD_CAP,2032,44500.15
330,ITA,GDPVD_CAP,2033,45014.52
331,ITA,GDPVD_CAP,2034,45544.22
332,ITA,GDPVD_CAP,2035,46095.26
333,ITA,GDPVD_CAP,2036,46667.9
334,ITA,GDPVD_CAP,2037,47262.47
335,ITA,GDPVD_CAP,2038,47875.0
336,ITA,GDPVD_CAP,2039,48505.09
337,ITA,GDPVD_CAP,2040,49160.29
338,ITA,GDPVD_CAP,2041,49842.32
339,ITA,GDPVD_CAP,2042,50555.99
340,ITA,GDPVD_CAP,2043,51300.67
341,ITA,GDPVD_CAP,2044,52077.69
342,ITA,GDPVD_CAP,2045,52889.68
343,ITA,GDPVD_CAP,2046,53733.39
344,ITA,GDPVD_CAP,2047,54606.57
