,LOCATION,TIME,MSW_GEN_T,INC_T,INC%,DIS%,RCY%,Scenario
0,AUT,2022,5306121.781441144,2069326.8037353142,0.38998856207429233,0.0013275813554807,0.6086838565702269,CIR
1,AUT,2023,5292795.730628316,2049163.0136731763,0.3871607970462742,0.0009771722059157,0.6118620307478101,CIR
2,AUT,2024,5293181.32945556,2033855.7624777814,0.3842407119438278,0.0007190880355785,0.6150402000205937,CIR
3,AUT,2025,5312763.027209376,2025504.4781249345,0.3812525549796387,0.0005290785028371,0.6182183665175242,CIR
4,AUT,2026,5352791.503999287,2024501.9714898735,0.37821424017305477,0.0003892283834304,0.6213965314435148,CIR
5,AUT,2027,5390617.1607648665,2022230.6557664154,0.3751389860302163,0.0002863184892968,0.6245746954804869,CIR
6,AUT,2028,5421669.588507561,2017059.1820450546,0.3720365376600341,0.0002106033256021,0.6277528590143638,CIR
7,AUT,2029,5447849.74518528,2009788.4483455692,0.3689140747910287,0.0001549029454245,0.6309310222635468,CIR
8,AUT,2030,5471607.6533696,2001387.6010343973,0.36577688456917695,0.0001139300791925,0.6341091853516305,CIR
9,AUT,2031,5494472.330575727,1992454.232445522,0.36262885907312353,8.379257832119151e-05,0.6372873483485553,CIR
10,AUT,2032,5517434.294262026,1983367.9003789756,0.3594728626748888,6.162603121236696e-05,0.6404655112938988,CIR
11,AUT,2033,5540991.620417909,1974316.2819142202,0.35631100300514706,4.532278479672172e-05,0.6436436742100562,CIR
12,AUT,2034,5566296.970029976,1965709.0008858226,0.35314483066023633,3.3332230063792444e-05,0.6468218371096999,CIR
13,AUT,2035,5591808.021939723,1956995.7318053383,0.3499754863054978,2.4513694502165637e-05,0.65,CIR
14,AUT,2036,5617463.56455245,1966010.975230556,0.3499819718701087,1.8028129891244856e-05,0.65,CIR
15,AUT,2037,5643094.296239842,1975008.1853447114,0.3499867416110195,1.325838898045055e-05,0.65,CIR
16,AUT,2038,5668344.637624102,1983865.3536430318,0.34999024944160295,9.750558397004408e-06,0.65,CIR
17,AUT,2039,5693234.990078616,1992591.4215138832,0.3499928292062942,7.170793705743528e-06,0.65,CIR
18,AUT,2040,5717468.911677777,2001083.9676475949,0.3499947264357546,5.273564245418473e-06,0.65,CIR
19,AUT,2041,5740799.206744871,2009257.4578541096,0.3499961217060912,3.8782939088121065e-06,0.65,CIR
20,AUT,2042,5763309.488220366,2017141.882885956,0.34999714782084745,2.8521791525068397e-06,0.65,CIR
21,AUT,2043,5784914.747978061,2024708.02763678,0.3499979024486842,2.097551315809312e-06,0.65,CIR
22,AUT,2044,5805617.460637619,2031957.1555839179,0.34999845741830055,1.5425816994059686e-06,0.65,CIR
23,AUT,2045,5825643.029432014,2038968.4514272697,0.3499988655546003,1.134445399700897e-06,0.65,CIR
24,AUT,2046,5844666.558458291,2045628.419292558,0.34999916570641026,8.342935897256616e-07,0.65,CIR
25,AUT,2047,5862616.289393495,2051912.1042449619,0.34999938644410894,6.13555891033937e-07,0.65,CIR
26,AUT,2048,5879224.806476823,2057726.0294372654,0.3499995487790125,4.512209874782198e-07,0.65,CIR
27,AUT,2049,5894646.828314333,2063124.4338499045,0.34999966816330663,3.3183669333141785e-07,0.65,CIR
28,AUT,2050,5908931.886266004,2068124.7181824357,0.3499997559608583,2.440391416865074e-07,0.65,CIR
29,BEL,2022,4893926.779460897,2144364.5161069967,0.43816849183493806,0.0044826292440963,0.5573488789209656,CIR
30,BEL,2023,4921475.415843495,2124799.543877254,0.4317403551457308,0.003783479390052,0.5644761654642172,CIR
31,BEL,2024,4937814.155426162,2099575.0320223956,0.42520333206853755,0.0031933518760465,0.5716033160554159,CIR
32,BEL,2025,4962280.950097489,2077083.5862923753,0.41857436271349546,0.0026952528997499,0.5787303843867546,CIR
33,BEL,2026,4990022.251896482,2055229.294236816,0.4118677614024098,0.0022748356434817,0.5858574029541085,CIR
34,BEL,2027,5016917.331092243,2032331.2369902348,0.40509562005235833,0.0019199885263781,0.5929843914212636,CIR
35,BEL,2028,5042622.078855768,2008315.771377476,0.3982681509682334,0.0016204873467478,0.6001113616850188,CIR
36,BEL,2029,5067348.793495583,1983329.8002314135,0.3913939776115674,0.0013677014465943,0.6072383209418383,CIR
37,BEL,2030,5091560.466706338,1957605.1076888195,0.38448038091457015,0.0011543455412326,0.6143652735441972,CIR
