DATAFLOW,LAST UPDATE,freq,wst_oper,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BE,1995,92,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BE,1996,83,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BE,1997,81,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BE,1998,71,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BE,1999,13,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BE,2000,14,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BE,2001,16,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BE,2002,19,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BE,2003,16,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BE,2004,12,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BE,2005,11,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BE,2006,2,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BE,2007,5,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BE,2008,10,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BE,2009,9,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BE,2010,8,
ESTAT:ENV_WASMUN(1.0),21/08/23 23:00:00,A,DSP_I,KG_HAB,BE,2011,13,
