STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,CONVERSION_TYPE,Conversion type,BASE_PER,Base period,PRICE_BASE,Price base
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ARM,Armenia,A,Annual,LANDFILL,Landfill,PT_WST_TR,Percentage of treated waste,2012,,100,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ARM,Armenia,A,Annual,LANDFILL,Landfill,PT_WST_TR,Percentage of treated waste,2013,,100,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ARM,Armenia,A,Annual,LANDFILL,Landfill,PT_WST_TR,Percentage of treated waste,2014,,100,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ARM,Armenia,A,Annual,LANDFILL,Landfill,PT_WST_TR,Percentage of treated waste,2015,,100,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ARM,Armenia,A,Annual,LANDFILL,Landfill,PT_WST_TR,Percentage of treated waste,2016,,100,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ARM,Armenia,A,Annual,LANDFILL,Landfill,PT_WST_TR,Percentage of treated waste,2017,,100,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ARM,Armenia,A,Annual,LANDFILL,Landfill,PT_WST_TR,Percentage of treated waste,2018,,100,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ARM,Armenia,A,Annual,LANDFILL,Landfill,PT_WST_TR,Percentage of treated waste,2019,,100,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ARM,Armenia,A,Annual,LANDFILL,Landfill,PT_WST_TR,Percentage of treated waste,2020,,100,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,ARM,Armenia,A,Annual,LANDFILL,Landfill,PT_WST_TR,Percentage of treated waste,2021,,100,,A,Normal value,0,Units,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUS,Australia,A,Annual,DISPOSAL,Disposal operations,T,Tonnes,2003,,6202,,A,Normal value,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUS,Australia,A,Annual,DISPOSAL,Disposal operations,T,Tonnes,2007,,7029.52,,A,Normal value,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUS,Australia,A,Annual,DISPOSAL,Disposal operations,T,Tonnes,2008,,7034.21,,A,Normal value,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUS,Australia,A,Annual,DISPOSAL,Disposal operations,T,Tonnes,2009,,7038.89,,A,Normal value,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUS,Australia,A,Annual,DISPOSAL,Disposal operations,T,Tonnes,2010,,7062.36,,A,Normal value,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUS,Australia,A,Annual,DISPOSAL,Disposal operations,T,Tonnes,2011,,6633.82,,A,Normal value,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUS,Australia,A,Annual,DISPOSAL,Disposal operations,T,Tonnes,2012,,6514.55,,A,Normal value,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUS,Australia,A,Annual,DISPOSAL,Disposal operations,T,Tonnes,2013,,6395.28,,A,Normal value,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUS,Australia,A,Annual,DISPOSAL,Disposal operations,T,Tonnes,2014,,6276.01,,A,Normal value,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUS,Australia,A,Annual,DISPOSAL,Disposal operations,T,Tonnes,2015,,6282.51,,A,Normal value,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUS,Australia,A,Annual,DISPOSAL,Disposal operations,T,Tonnes,2016,,6122.92,,A,Normal value,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUS,Australia,A,Annual,DISPOSAL,Disposal operations,T,Tonnes,2017,,6431.76,,A,Normal value,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUS,Australia,A,Annual,DISPOSAL,Disposal operations,T,Tonnes,2018,,6322.64,,A,Normal value,3,Thousands,1,One,,,,,,
DATAFLOW,OECD.ENV.EPI:DSD_MUNW@DF_MUNW(1.0),Waste - Municipal waste: generation and treatment,I,AUS,Australia,A,Annual,DISPOSAL,Disposal operations,T,Tonnes,2019,,6317.09,,A,Normal value,3,Thousands,1,One,,,,,,
