,LOCATION,TIME,MSW_GEN_T,INC_T,INC%,DIS%,RCY%
0,AUT,2010,4701000.0,1636000.0,0.35704932343954604,0.033391532082060235,0.6093408991706678
1,AUT,2011,4807000.0,1678000.0,0.36226252158894645,0.049654576856649396,0.5880829015544041
2,AUT,2012,4883000.0,1693000.0,0.35883849088596864,0.04387452310300975,0.5972869860110216
3,AUT,2013,4905000.0,1716000.0,0.3617200674536256,0.04194772344013491,0.5963322091062394
4,AUT,2014,4833000.0,1756000.0,0.37577573293387545,0.0415150866680933,0.5827091803980312
5,AUT,2015,4836000.0,1833000.0,0.3876903553299492,0.030456852791878174,0.5820642978003384
6,AUT,2016,4928000.0,1855000.0,0.3844559585492228,0.027357512953367875,0.5881865284974094
7,AUT,2017,5018000.0,1944000.0,0.3932038834951456,0.020833333333333332,0.5861650485436893
8,AUT,2018,5119000.0,1977000.0,0.39218409045824243,0.02241618726443166,0.5855980956159492
9,AUT,2019,5220000.0,2004000.0,0.3892017867547097,0.020586521654690233,0.5904059040590406
10,AUT,2020,7438000.0,2669000.0,0.3588330196289325,0.018418929819844044,0.6227480505512234
11,AUT,2021,7476000.0,2654000.0,0.3550026752273943,0.020331728196896735,0.624665596575709
12,AUT,2022,5324482.064421909,2093409.1746129948,0.39316672481650683,0.0013275813554807952,0.6055056938280123
13,AUT,2023,5329551.256535457,2097269.675484858,0.39351712264949956,0.0009771722059157331,0.6055057051445847
14,AUT,2024,5348510.751017814,2106110.8930855826,0.3937752004489835,0.0007190880355785096,0.605505711515438
15,AUT,2025,5387067.405212305,2122317.122159033,0.39396520639514676,0.000529078502837181,0.605505715102016
16,AUT,2026,5446700.126876468,2146572.0503229136,0.39410505449542954,0.0003892283834304245,0.60550571712114
17,AUT,2027,5504503.438809195,2169919.089331357,0.39420796325286367,0.0002863184892968691,0.6055057182578395
18,AUT,2028,5555774.489990081,2190551.198810894,0.3942836777766343,0.00021060332560213563,0.6055057188977635
19,AUT,2029,5602398.674126707,2209246.407323377,0.39433937779655626,0.00015490294542452383,0.6055057192580192
20,AUT,2030,5646854.8735842835,2227008.6040407945,0.3943803504599762,0.00011393007919252137,0.6055057194608313
21,AUT,2031,5690703.485239145,2244473.137803923,0.3944104878466711,8.379257832119151e-05,0.6055057195750078
22,AUT,2032,5734967.546007124,2262058.4716651416,0.39443265432950225,6.162603121236696e-05,0.6055057196392853
23,AUT,2033,5780171.114824437,2279982.4706437686,0.39444895753973186,4.532278479672172e-05,0.6055057196754714
24,AUT,2034,5827531.123858098,2298733.4520483515,0.39446094807409326,3.3332230063792444e-05,0.605505719695843
25,AUT,2035,5875450.457835216,2317687.5707614655,0.39446976659818644,2.4513694502165633e-05,0.6055057197073114
26,AUT,2036,5923870.668073492,2336826.2994005107,0.39447625215634097,1.8028129891244856e-05,0.6055057197137678
27,AUT,2037,5972618.050764796,2356084.472045959,0.3944810218936169,1.325838898045055e-05,0.6055057197174026
28,AUT,2038,6021318.479527434,2375316.9887036965,0.3944845297221542,9.750558397004408e-06,0.6055057197194488
29,AUT,2039,6069993.187951466,2394534.067312824,0.39448710948569354,7.170793705743528e-06,0.6055057197206007
30,AUT,2040,6118324.665633045,2413611.8201024374,0.39448900671450526,5.273564245418473e-06,0.6055057197212493
31,AUT,2041,6166043.592429676,2432445.0154313906,0.3944904019844768,3.8782939088121065e-06,0.6055057197216144
32,AUT,2042,6213233.277263592,2451067.268660115,0.3944914280990275,2.8521791525068393e-06,0.60550571972182
33,AUT,2043,6259795.809379246,2469440.5122657726,0.3944921827267486,2.0975513158093118e-06,0.6055057197219356
34,AUT,2044,6305726.829906028,2487563.440294639,0.3944927376962999,1.5425816994059686e-06,0.6055057197220007
35,AUT,2045,6351264.956899564,2505530.492863425,0.3944931458325628,1.134445399700897e-06,0.6055057197220375
36,AUT,2046,6396050.1960486965,2523199.8825281416,0.3944934459843522,8.342935897256616e-07,0.605505719722058
37,AUT,2047,6439995.166379217,2540537.3068571463,0.3944936667220392,6.13555891033937e-07,0.6055057197220698
38,AUT,2048,6482795.41398585,2557422.785856025,0.3944938290569363,4.512209874782198e-07,0.6055057197220762
39,AUT,2049,6524609.084775407,2573918.7998885484,0.39449394844122665,3.3183669333141785e-07,0.60550571972208
40,AUT,2050,6565479.873628894,2590042.6551923133,0.3944940362387763,2.440391416865074e-07,0.605505719722082
41,BEL,2010,4972000.0,1940000.0,0.4087652760219132,0.01706700379266751,0.5743784239359461
42,BEL,2011,5023000.0,2004000.0,0.41942235244872333,0.00858099623273336,0.5717873587275011
43,BEL,2012,4944000.0,2047000.0,0.4340542832909245,0.006785411365564037,0.5593723494486853
44,BEL,2013,4867000.0,2131000.0,0.4492936959730129,0.008855154965211892,0.5418511490617752
45,BEL,2014,4762000.0,2078000.0,0.4436379163108454,0.00982066609735269,0.5465414175918019
46,BEL,2015,4643000.0,2050000.0,0.44818539571491034,0.00874508089199825,0.5430695233930913
47,BEL,2016,4746000.0,2113000.0,0.44465488215488214,0.007996632996632997,0.5347222222222222
48,BEL,2017,4672000.0,2002000.0,0.4322107081174439,0.00885146804835924,0.5433937823834197
49,BEL,2018,4677000.0,2022000.0,0.4323284156510584,0.009835364549925165,0.5435107975197776
50,BEL,2019,4779000.0,2047000.0,0.42833228708934923,0.009206947060054404,0.54676710608914
51,BEL,2020,8408000.0,4112000.0,0.489058039961941,0.005114176974310181,0.513558515699334
52,BEL,2021,8753000.0,3852000.0,0.4400776876499486,0.004569861761681709,0.5553524505883697
