unit,NUTS_code,Geopolitical entity (reporting),TIME_PERIOD,Animal and mixed food waste; vegetal wastes (W091+W092),Glass wastes,Health care and biological wastes,"Metal wastes, ferrous","Metal wastes, mixed ferrous and non-ferrous","Metal wastes, non-ferrous","Mixed ordinary wastes (subtotal, W101+W102+W103)",Paper and cardboard wastes,Plastic wastes,Textile + rubber,Wood wastes,"weee + batt, no elv"
T,CYP,Cyprus,2012,,19.628119329600217,0.0,0.0,0.0,0.0,,67.3775193647201,0.0,12.994361305679666,0.0,0.0
T,CYP,Cyprus,2014,,20.4918540543889,0.0,0.0,0.0,0.0,,63.40209378678065,0.0,16.10605215883045,0.0,0.0
T,CYP,Cyprus,2016,,21.018442058904487,0.0,0.0,0.0,0.0,,56.49876135425268,0.0,22.48279658684283,0.0,0.0
T,CYP,Cyprus,2018,,23.591003972796447,0.0,0.0,0.0,0.0,,50.885462258433776,0.0,25.52353376876978,0.0,0.0
T,CYP,Cyprus,2020,,20.566288107260412,0.0,0.0,0.0,0.0,,49.011666982611544,0.8840712082306513,28.331638719906255,0.11029348406776157,1.0960414979233806
T,CYP,Cyprus,2022,,28.22910669550469,0.0,0.0,0.0,0.0,,45.57393374515692,0.0,26.196959559338385,0.0,0.0
T,CZE,Czechia,2004,3.3286868125465023,1.7296021415139684,0.00017239132278620237,,,,86.11956786322335,4.291664741630229,1.933196293724473,0.6501911130204407,0.2972371187479701,1.649681524270285
T,CZE,Czechia,2006,5.0276880533275365,2.3636387458564254,6.165746043710513e-05,,,,81.57152535162092,6.209152895858236,2.4831617329137536,0.6319581407501091,1.0567163857013264,0.6560970365112359
T,CZE,Czechia,2008,6.102248843581746,2.1515576628597617,0.0,,,,82.28706338062626,6.228012078086189,2.4841017089322,0.20892625702652684,0.31536504754476924,0.22272502134255187
T,CZE,Czechia,2010,,13.570283317299776,0.0,0.0,21.495020930293023,0.0,,41.2433374067237,16.510231143236005,1.5137411923766932,4.840054427428651,0.827331582642157
T,CZE,Czechia,2012,,17.2181917367438,0.0,0.0,13.188225299343712,0.0,,39.02311377634276,22.752497401056047,2.267910148193249,4.736768346802448,0.8132932915179812
T,CZE,Czechia,2014,,16.671921306513653,0.0,0.0,13.408524064097996,0.0,,37.06420359538918,23.516881068634206,3.766019371008215,5.112523997243783,0.4599265971129616
T,CZE,Czechia,2016,,17.212565439153853,0.0,0.0,6.988144542367558,0.0,,37.295480737685374,25.49771611394474,5.116661853074203,7.718245010921714,0.17118630285254424
T,CZE,Czechia,2018,,6.064062547714868,0.0005161270343469638,29.473176232866187,19.682568970700757,2.4910871312756204,,22.948620844048342,9.987832305165268,4.761271891850741,3.029579670444286,1.5612842788995653
T,CZE,Czechia,2020,,7.746124607675702,0.005091947153772031,25.665391330914506,21.55325756182567,2.1587355422230394,,21.00394103070558,12.267455433528154,5.175236860787301,3.0687619726112345,1.3560037125750406
T,CZE,Czechia,2022,,15.200863112105012,0.0019624887037235587,1.786774166373091,6.629143244443762,0.06677248150474059,,31.822903104752857,26.268150627230536,11.389231393692464,6.755795564201142,0.07840381699266316
T,DEU,Germany,2004,14.824198781445475,5.2714306813031975,0.0,,,,55.42310414334409,19.81940091864794,0.5997613559526308,0.5696691107300986,1.3403470943015778,2.1520879142750062
T,DEU,Germany,2006,27.544996490704314,2.3206802531668584,0.0,,,,45.15969089492064,19.920552846835392,1.0706437727583924,0.3444420363387927,1.581943609182633,2.057050096092984
T,DEU,Germany,2008,27.812009981235374,3.161968636298628,0.0,,,,42.496254421599346,21.09512232745986,0.44647920791788487,0.5706086447478075,1.6528844667061744,2.764672314034927
T,DEU,Germany,2010,,14.320163279505241,0.0,0.0,3.0591750314164066,0.0,,63.46505285678994,0.5159159035156886,1.8150752212019647,5.024953827615629,11.799663879955137
T,DEU,Germany,2012,,14.150710466804261,0.0,0.0,2.816809732178855,0.0,,62.663580246799164,1.402199802527744,2.223036302179478,4.632691559004427,12.110971890506054
T,DEU,Germany,2014,,14.270998692522069,0.0,0.0,2.9794947987958698,0.0,,61.62256457109089,1.1592547941965747,2.604316383288586,5.589229716565429,11.774141043540585
T,DEU,Germany,2016,,14.05294496268594,0.0,0.0,3.3148651921917356,0.0,,60.703425364437734,1.388595469785194,3.1782816634443947,4.978463640206798,12.383423707248193
T,DEU,Germany,2018,,13.807458930743493,0.0,0.0,3.5142735588720506,0.0,,59.37548133244041,1.2274177258356171,3.1109723839564625,5.127228108214293,13.837167959937693
T,DEU,Germany,2020,,15.555035652268101,0.0,0.0,4.068330738681165,0.0,,54.00290589317598,1.2215326982568961,2.839479970453961,5.506859122985517,16.80585592417837
T,DEU,Germany,2022,,15.440217157137317,0.0,0.0,4.313354145531319,0.0,,55.26543386382242,1.529582959588561,3.49935565748397,4.8442884617644415,15.107767754671976
T,DNK,Denmark,2004,3.9021128339554143,2.501129745239355,4.9495957912597056e-05,,,,73.33118190902938,9.247602044579029,0.20855121866472773,0.08122286693457177,10.392864266739654,0.33528561889993247
T,DNK,Denmark,2006,2.837462800050835,2.0749595226159405,4.859959064564799e-05,,,,75.07028108302244,6.708347295590729,0.15687947860415172,0.021140821930856875,12.882293492441912,0.24858690615248946
T,DNK,Denmark,2008,2.6363572119801377,1.8717703542496837,0.006826453758227199,,,,74.85019058785862,7.005744316616694,0.181934607380358,0.016873839923505256,11.376958218737848,2.0533444094949242
T,DNK,Denmark,2010,,14.774571947590154,0.00048312913075406806,6.002058130097013,15.902678467900902,0.6375855138561436,,33.75565261082982,3.6341939473582503,0.5501874541027326,8.38016465040776,16.362424148726472
T,DNK,Denmark,2012,,11.958166864699148,0.0033048445406291906,1.1864908282818267,13.808156872708233,0.02509616323040292,,37.40133877186813,3.9329715561325265,2.4021055990779483,11.213130973571056,18.0692375258901
T,DNK,Denmark,2014,,8.90701948152975,0.06800897749311052,0.71490297745306,11.845923851510909,0.030846654004519556,,28.432065732255662,3.4726169515649765,1.462847689158152,28.180286176847986,16.885481508181872
T,DNK,Denmark,2016,,10.179867868442233,0.06853627242371356,0.7071986994046908,16.607813135056304,0.05881368494034953,,31.993449207449732,4.652138570779639,2.224639586869725,15.968632701365145,17.538910273268463
T,DNK,Denmark,2018,,10.327049149688824,0.06652819840354979,0.42544820636276903,15.896765755421653,0.01755710116779265,,28.714015966012475,5.610116817022157,2.799621370730085,20.251795260790914,15.891102174399785
T,DNK,Denmark,2020,,10.073327811077725,0.012294320601239823,0.5812632516304408,14.565000106980966,0.010086776846873556,,23.84738197197506,8.294590940444206,2.934335082726853,21.456849821477633,18.224869916238994
T,DNK,Denmark,2022,,11.531139673994502,0.015902099533856733,0.578952678590335,13.163077068715753,0.029271488698091375,,26.223018849593128,10.860345104623773,3.8583558889875675,19.809947074657245,13.929990072605747
T,ESP,Spain,2004,0.0061682455197207345,1.7908874229852954,0.0,,,,89.74061323376783,4.671502681168629,0.8877925002207165,0.4225448883140581,0.5230431358164929,1.9574478922072556
T,ESP,Spain,2006,0.045838574173672306,2.427637270150879,0.0,,,,89.70607206993458,5.4404187794548555,0.7214332027106184,0.20771799352886844,0.2890886077886267,1.1617935022578958
T,ESP,Spain,2008,2.4747412956209325,2.155400441258058,0.0,,,,85.54087735963783,6.7393400370819725,1.1286575621246997,0.15285361725950006,0.4951912345273447,1.3129384524896572
T,ESP,Spain,2010,,18.30498594637169,0.0,0.0,2.5400537411707074,0.0,,55.11162458982736,8.351988459335727,0.8904933597956971,5.764719089521792,9.036134813977027
T,ESP,Spain,2012,,25.908998887650704,0.0,0.0,2.0975383594997474,0.0,,51.331377756929776,6.510846263477219,2.543446918372615,5.268430210930573,6.339361603139364
T,ESP,Spain,2014,,27.058842968450726,0.12014093405554138,0.0,1.4739114157367668,0.0,,49.75550037198903,2.6018143324699246,5.5448758782832765,3.8517713939348615,9.59314270507988
T,ESP,Spain,2016,,29.112826944564794,0.0,0.0,1.1151437757964109,0.0,,55.886675940072514,1.374720087565275,3.788949444735822,3.4690807926481657,5.252603014617016
T,ESP,Spain,2018,,28.270414724007825,0.0,0.0,1.4160370064444288,0.0,,54.22266045286768,1.2217287894166282,4.0989127883762535,4.6110059560760135,6.159240282811164
T,ESP,Spain,2020,,22.578393017373212,0.0,0.0,0.9418684661135468,0.0,,54.75336238584342,0.35601492105536997,2.927469876498684,3.7464172414788783,14.6964740916369
T,ESP,Spain,2022,,22.332212446671026,0.0,0.0,0.8675117702662063,0.0,,53.55429287797892,0.8711335745319506,3.416042752112242,3.94549555127686,15.013311027162818
T,EST,Estonia,2004,0.5902759425916406,2.1568976038208176,0.0004804850977546932,,,,84.68982284514446,4.324365879792238,1.0486587258496178,0.27964232689323143,1.8085459079486652,5.1013102828615775
T,EST,Estonia,2006,0.8928305295764444,1.6980747051985479,0.0,,,,75.56684650147542,5.163697061271469,0.30540582059471594,7.197672312394386,1.6366266872410526,7.538846382247942
T,EST,Estonia,2008,6.466731903995231,5.2355897735584875,0.0003922083881607976,,,,69.08789978291267,6.169634049963427,1.2501642372625423,3.280430958576911,1.5370646732021658,6.972092412140418
T,EST,Estonia,2010,,6.342332328472429,0.0006244604271621551,67.26515994773266,8.273788429684975,3.003498539543176,,4.757451764334879,1.1910021497050205,2.0260618559276122,0.6104100675510066,6.5296704566210755
T,EST,Estonia,2012,,3.784960905111591,0.0,74.07472301920797,3.256186504050287,4.103789967053287,,4.5703004001789695,0.7856523793283627,1.9627229691464834,1.676746754608003,5.784917101315053
T,EST,Estonia,2014,,2.287284891035847,0.0006362405816511397,67.9252035572211,6.1327229665353356,3.3698482407152612,,7.99038640481125,1.646272505022324,2.3868565420642507,2.39480954933489,5.865979102678096
T,EST,Estonia,2016,,3.4399299209447696,0.0008651735213643786,62.63380449241352,2.217872322017585,3.9945061481393367,,10.825267392691448,1.7558696616090066,2.709723468913234,5.130046394930083,7.292115024819666
T,EST,Estonia,2018,,4.333913822107075,0.0013167987306060235,57.550853120977585,5.179463206997468,3.178587535841616,,11.289738516692069,2.5529435389624284,2.3909772950978874,6.364088265018912,7.158117899574344
T,EST,Estonia,2020,,4.405234906941289,0.00033360355221062393,59.84347321330278,2.0791841391527135,3.3131836787798115,,10.995906684414376,2.3609123389945856,3.5478737777599854,4.816901690369199,8.636995966733053
T,EST,Estonia,2022,,4.943491926315734,0.0003429408204173246,59.109965688770906,1.58181453417491,3.7068473278908622,,7.922961774101451,3.1271058709753747,3.592648034691893,7.209644867633417,8.805177034625018
T,EU27_2020,European Union - 27 countries (from 2020),2004,10.974548331794804,3.73994461295002,0.01582487142291969,,,,68.55861796122906,11.251483581695897,1.1947777924304364,1.2501648424106553,1.574574706580509,1.4400632994856917
T,EU27_2020,European Union - 27 countries (from 2020),2006,13.80030565461029,3.275598573611819,0.005094243504839531,,,,65.8889454915945,11.385634233316352,1.5970453387671932,1.2990320937340805,1.2582781456953642,1.490066225165563
T,EU27_2020,European Union - 27 countries (from 2020),2008,14.81379723755526,3.456802457726602,0.002497689637085696,,,,64.23558208656992,11.898993431076255,1.3937108174938182,0.8841821315283364,1.3662362314858754,1.9481979169268426
T,EU27_2020,European Union - 27 countries (from 2020),2010,,22.954481988271432,0.0,2.345713487852555,7.567718514381458,0.2234012845573862,,44.70818207204692,5.780508237922368,1.6475844736107235,9.159452666852834,5.612957274504328
T,EU27_2020,European Union - 27 countries (from 2020),2012,,,0.0,,,,,,,0.0,,100.0
T,EU27_2020,European Union - 27 countries (from 2020),2014,,,,,,,,,,,,
T,EU27_2020,European Union - 27 countries (from 2020),2016,,21.553693830921553,0.0,1.827875095201828,4.5189134298045195,0.17771007870017771,,38.99466869763899,7.3622746890073625,4.1381061183041385,10.992637725310992,10.434120335110435
T,EU27_2020,European Union - 27 countries (from 2020),2018,,15.145695917174585,0.0,3.531769224346664,6.5625782750271355,0.42581614761626446,,40.67796610169491,8.215746848125574,4.5587375803623615,8.132253485847874,12.749436419804624
T,EU27_2020,European Union - 27 countries (from 2020),2020,,15.994189799870885,0.0,3.8008392511297604,6.802775984506132,0.38734667527437056,,37.98418334409296,9.1994835377663,4.793415106520335,8.231116849580374,12.806649451258876
T,EU27_2020,European Union - 27 countries (from 2020),2022,,16.266878474980142,0.0,2.8355837966640185,6.3145353455123105,0.21445591739475772,,38.12549642573471,9.579030976965845,5.671167593328037,7.696584590945194,13.29626687847498
T,FIN,Finland,2004,7.452261712532208,4.192476363952438,0.0,,,,59.70394201524517,23.548935645545257,1.3243691661341035,0.0,1.8185139051678618,1.9595011914229803
T,FIN,Finland,2006,10.428845734187362,4.608334347684483,0.0,,,,56.48104588924602,21.506766544615548,1.4161438646011186,0.0013159150050498238,1.0566797490550086,4.500867955605415
T,FIN,Finland,2008,13.885822155738904,2.7626514404661573,0.0,,,,55.128165257351604,17.64105849460894,1.7726581475411365,0.0,3.234323637618916,5.575320866674338
T,FIN,Finland,2010,,6.890681218039234,0.0,0.0,2.340186200129239,0.0,,59.130986286288675,2.2647966876480865,0.0,3.6212494714756396,25.75210013641912
T,FIN,Finland,2012,,9.544103193602192,0.0,0.0,17.952032755730826,0.0,,42.125289039146196,0.4033294047118988,0.0,4.739630274582091,25.235615332226796
T,FIN,Finland,2014,,0.9457208826980581,0.0,0.0,0.0,8.93845338582081,,57.74168212271471,8.107517317082403,0.0,5.3887353798402655,18.877890911843746
T,FIN,Finland,2016,,10.368964721584202,0.0,0.0,32.555389707438174,0.0,,20.57593232120238,7.931539939662774,0.0,5.603645126730195,22.964528183382274
T,FIN,Finland,2018,,7.156022591259312,0.0,0.0,5.588367139820963,9.756986952227951,,49.77392812120274,6.399870751054698,0.07475049037231889,7.7106780563507185,13.539395897711293
T,FIN,Finland,2020,,5.183471952817391,0.0,0.0,4.349305080808885,7.948213337529688,,50.540901032143104,9.84378158161431,0.08197968694124835,6.780097028142118,15.27225030000325
T,FIN,Finland,2022,,8.79380214908569,0.0,0.0,5.634760251009262,0.0,,50.79561797389097,10.378409873894205,0.08878735889977664,6.424443653168213,17.884178740051883
T,FRA,France,2004,14.508221694934035,5.414039201927783,0.011079207098078681,,,,73.18924208990776,5.7528782856773555,0.8697177571991765,0.15510889937310154,0.0,0.09971286388270814
T,FRA,France,2006,15.665788092006261,5.241245129354169,0.0003511957336742274,,,,71.78967589901718,5.851623314479976,0.929790704902517,0.13380557452988062,0.0,0.38772008997634705
T,FRA,France,2008,17.61743868068218,5.826393513738093,0.004538777305764335,,,,67.96993583740006,6.527617150642892,0.9475919604288446,0.1123871088250415,0.0,0.9940969709771378
T,FRA,France,2010,,26.75954746450196,0.0,6.1713749057792775,8.469278320247252,0.32482034935459386,,32.76643800660791,4.491070087042223,0.473244451916927,9.798876597282364,10.745349817267478
T,FRA,France,2012,,23.13869733873457,0.0,5.089674111930348,6.722376204856658,0.5655149260618172,,33.756670665618664,5.739875067223762,4.990787560183167,11.142716444602847,8.853687680788164
T,FRA,France,2014,,24.438961415363934,0.0,5.209395292345098,2.2720519078046655,0.20910489824365136,,33.726596490911504,5.307445591986701,6.111513026571905,12.924088162521452,9.800843214251074
T,FRA,France,2016,,20.58928983062934,0.0,7.5943860417216,3.413808028895666,0.31840954432609114,,31.44851466922721,5.611968218747357,7.282941706177643,12.997424531133655,10.743257429141439
T,FRA,France,2018,,20.47194322933643,0.0,8.129790771613699,3.8533191312197923,0.8220411593183751,,30.024371102605674,5.99414986293888,6.304007194511886,12.7256886793043,11.674688869150964
T,FRA,France,2020,,22.449215420124528,0.0,7.3070789347711536,5.263720623562377,0.269782524856695,,25.60207657522289,6.089355836844996,8.331275270903843,12.668698138292047,12.018796675421479
T,FRA,France,2022,,21.73618172022039,0.0,6.523948277493383,5.89660784556484,0.34639984505270643,,25.427354677882803,6.4242040566143706,9.349211786791487,12.361814102807216,11.934277687572813
T,GBR,United Kingdom,2004,9.911857027704576,2.2903829662275177,0.0002435513474521789,,,,70.92350060874789,8.98001217582772,0.5068781944912338,0.7177632174663893,1.2485790301072088,5.420783228080009
T,GBR,United Kingdom,2006,14.821814537300176,2.8908335550395283,0.0009075855436302639,,,,70.31529963396132,8.553105959500579,0.349083896705131,0.9467152720348333,1.6502889860489331,0.4719505738658824
T,GBR,United Kingdom,2008,18.011296486934476,3.2527677514815125,0.08415180360480676,,,,62.98468801693345,8.051801088882085,0.4423861505770655,1.482452451962019,1.6435906580726092,4.046865591551993
T,GBR,United Kingdom,2010,,14.69289490061659,0.013182582981501123,0.2902487613819791,7.884986170693736,0.06526025838509907,,46.97494241250114,5.447637690838655,5.1108507437101975,8.014028771041296,11.505967707849795
T,GBR,United Kingdom,2012,,14.938305929651852,0.003284467572205325,0.2998718893423461,7.366157535874186,0.08434512725423272,,47.70037181815151,6.277389380363843,4.223168404341606,8.434523673648513,10.672581773799704
T,GBR,United Kingdom,2014,,14.83474210113489,0.014612240431335471,0.257644427081331,8.202204693560102,0.08264849091129811,,44.82089397240296,7.833484906082059,4.78333923831623,8.897514435569512,10.272915494510281
T,GBR,United Kingdom,2016,,14.732928781351493,0.03138623390927948,0.2505134104349706,9.021323904081035,0.08118833284437102,,42.61607708104936,7.841035776600837,4.88164538393836,9.208879555713395,11.335021540076896
T,GBR,United Kingdom,2018,,15.158143568157485,0.06301187561206076,0.25870204740458724,8.83263888201952,0.1049122337990263,,42.74712522864419,8.28776495258531,4.841229063772705,9.316447575383748,10.390024572621371
T,GBR,United Kingdom,2020,,,,,,,,,,,,
T,GRC,Greece,2004,0.0,0.0,0.0,,,,100.0,0.0,0.0,0.0,0.0,0.0
T,GRC,Greece,2006,0.0,0.1464269916011209,0.0,,,,98.84605327152258,0.5126516329958332,0.42927093938016847,0.0,0.06559716450030399,0.0
T,GRC,Greece,2008,0.0,0.0,0.0,,,,100.0,0.0,0.0,0.0,0.0,0.0
T,GRC,Greece,2010,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,100.0
T,GRC,Greece,2012,,,,,,,,,,,,
T,GRC,Greece,2014,,,,,,,,,,,,
T,GRC,Greece,2016,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,100.0
T,GRC,Greece,2018,,13.987511518127862,0.001029553328288522,11.811035782125924,0.6640618967460967,0.001544329992432783,,45.8403471653823,16.29731441014316,5.942581810881349,0.8710021157320896,4.5835714175405
T,GRC,Greece,2020,,15.025299019407278,0.0,1.0228714046070126,0.5687165009614991,0.03068614213821038,,30.637044310789243,32.96714537048402,8.158422323145533,0.7023716978301486,10.887443230637043
T,GRC,Greece,2022,,24.863619832706995,0.0024245363074312035,0.7200872833070675,1.534731482603952,0.007273608922293612,,15.823736210449752,6.368044611468056,27.370590374590858,0.1285004242938538,23.180991635349738
T,HRV,Croatia,2004,,,,,,,,,,,,
T,HRV,Croatia,2006,0.0,0.0,13.246813983397637,,,,0.04442885537238395,0.0,0.0,0.0,76.77540044428855,9.933356716941425
T,HRV,Croatia,2008,,,,,,,,,,,,
T,HRV,Croatia,2010,,,,,,,,,,,,
T,HRV,Croatia,2012,,13.43120841382271,0.0,0.0,18.041210560206054,0.0,,26.31809401159047,13.930457179652286,0.0566645202833226,0.5881090362738786,27.634256278171282
T,HRV,Croatia,2014,,15.79849861997616,0.0,0.0,5.262347723050157,0.0,,30.770772849149612,16.290725022642416,0.41024833269493066,5.900989106582231,25.566418345904502
T,HRV,Croatia,2016,,10.296542678982771,0.0,0.0,3.791982942212655,0.0,,29.923991604050716,13.877859902183612,2.4466880229891523,0.6033629816357784,39.05957186794532
T,HRV,Croatia,2018,,2.950454148698049,0.0,9.09248040376455,12.152690755416511,0.8741606243140237,,26.046356871861793,7.886026393342033,3.054160797158438,2.545998219702535,35.39767178574206
T,HRV,Croatia,2020,,3.2962770533029326,0.0,0.4684635169544289,12.590976817282051,0.03692746329796598,,29.54025308194032,14.141500886688508,4.1375934458046535,4.110685061696058,31.67732267303307
T,HRV,Croatia,2022,,4.559070307231466,0.0,0.1956463779935072,11.097344855166789,0.1399714568009661,,32.25969606197952,17.986528237379044,4.293242162382573,5.311073820240578,24.157426720825555
T,HUN,Hungary,2004,3.2975362011892715,0.07504174062435158,0.0,,,,80.936065082046,13.923898214157088,0.9895188835337135,0.22899556952703276,0.548944308922549,0.0
T,HUN,Hungary,2006,2.248354332487746,0.44315933908490807,0.0,,,,93.78213358083944,2.5138546990699417,0.8216974501293414,0.19080059838861926,0.0,0.0
T,HUN,Hungary,2008,2.396316675519147,0.5120153483396945,0.0,,,,87.15489936093316,5.29140244501614,0.8741229226431733,1.9502295800980656,0.042249491036484774,1.778764176414135
T,HUN,Hungary,2010,,3.7876232307099196,0.0,0.0,45.83356281324008,0.0,,31.055429724073363,6.0619699014154325,8.35628132400727,0.5060031943603018,4.399129812193644
T,HUN,Hungary,2012,,5.123199253234372,0.0,0.0,43.836266513367214,0.0,,32.694546106516555,9.118708414204484,1.0727641142688014,0.2946935244264077,7.859822073982162
T,HUN,Hungary,2014,,3.797916394228674,0.0,0.0,39.936445664966655,0.0,,36.624297109977775,7.221132470249771,0.14489342225709428,0.3715618325269169,11.903753105793122
