Element,Unit,Fraction,n_data*,n_<DL**,Min,10%,25%,Median,75%,90%,Max
N,%TS,mix,117,,0.00%,0.12%,0.48%,1.05%,1.67%,2.33%,13.16%
Na,mg/kgTS,organic,13,,1250,1750,2500,3720,4150,6940,8300
Na,mg/kgTS,food waste,16,,877,1058,1483,2980,5767,8729,10800
Na,mg/kgTS,gardening waste,16,,168,470,1150,3441,4375,5782,6423
Na,mg/kgTS,paper & cardboard,17,,246,272,511,1090,1835,8020,10500
Na,mg/kgTS,composites,4,,1500,1500,1560,1820,3520,4060,4060
Na,mg/kgTS,plastic,9,,36,36,250,1170,1810,3340,3340
Na,mg/kgTS,combustibles,26,,39,52,671,1630,5225,12162,21900
Na,mg/kgTS,metal,6,,165,165,334,648,1054,1670,1670
Na,mg/kgTS,glass,6,,22400,22400,22820,25500,65343,95500,95500
Na,mg/kgTS,inert,9,,0,0,3135,5760,17411,41700,41700
Na,mg/kgTS,mix,64,,437,605,890,1502,6580,9534,12876
Nb,mg/kgTS,organic,,,,,,,,,
Nb,mg/kgTS,food waste,,,,,,,,,
Nb,mg/kgTS,gardening waste,12,11,0.600,0.720,1.650,2.600,4.425,12.210,15.000
Nb,mg/kgTS,paper & cardboard,,,,,,,,,
Nb,mg/kgTS,composites,,,,,,,,,
Nb,mg/kgTS,plastic,,,,,,,,,
Nb,mg/kgTS,combustibles,,,,,,,,,
Nb,mg/kgTS,metal,,,,,,,,,
Nb,mg/kgTS,glass,,,,,,,,,
Nb,mg/kgTS,inert,,,,,,,,,
Nb,mg/kgTS,mix,3,,2.400,2.400,2.400,2.500,2.600,2.600,2.600
Ni,mg/kgTS,organic,51,,0.0,2.3,3.9,5.6,10.5,160.4,673.0
Ni,mg/kgTS,food waste,99,24,0.0,1.0,1.0,2.0,20.4,44.9,162.0
Ni,mg/kgTS,gardening waste,20,,1.0,1.6,3.5,4.8,9.0,34.6,45.6
Ni,mg/kgTS,paper & cardboard,57,2,0.0,0.9,3.2,6.5,13.3,28.0,145.6
Ni,mg/kgTS,composites,6,,0.5,0.5,2.2,10.8,47.1,148.3,148.3
Ni,mg/kgTS,plastic,44,,0.0,0.2,5.4,11.6,19.6,64.9,161.8
Ni,mg/kgTS,combustibles,97,,0.0,0.0,3.2,8.8,22.0,33.2,476.0
Ni,mg/kgTS,metal,40,,0.0,0.0,2.0,55.0,147.3,211.4,900.0
Ni,mg/kgTS,glass,40,,0.0,0.0,6.9,19.9,37.1,160.5,313.0
Ni,mg/kgTS,inert,44,,0.0,1.6,9.3,34.7,67.7,89.3,322.0
Ni,mg/kgTS,mix,104,,0.0,20.5,26.8,44.2,75.2,118.5,211.3
O,%TS,organic,14,,22.9%,24.0%,26.9%,31.5%,35.1%,36.7%,37.0%
O,%TS,food waste,173,,5.3%,23.1%,33.8%,36.2%,38.5%,40.7%,55.8%
O,%TS,gardening waste,40,,12.6%,18.6%,23.1%,36.2%,38.2%,41.2%,42.7%
O,%TS,paper & cardboard,112,,0.0%,32.9%,38.0%,41.1%,44.0%,46.8%,51.2%
O,%TS,composites,39,,0.0%,0.0%,16.0%,32.0%,36.4%,40.0%,46.0%
O,%TS,plastic,112,,0.0%,0.0%,0.2%,1.9%,10.3%,19.1%,32.8%
O,%TS,combustibles,130,,0.0%,3.7%,13.0%,31.3%,39.2%,42.7%,47.6%
O,%TS,metal,13,,0.0%,0.0%,0.0%,0.8%,4.3%,7.9%,9.6%
O,%TS,glass,12,,0.0%,0.0%,0.0%,0.2%,0.6%,3.7%,4.8%
O,%TS,inert,11,,0.0%,0.0%,0.0%,0.0%,2.0%,17.0%,20.5%
O,%TS,mix,43,,2.0%,5.1%,13.8%,24.0%,26.3%,30.2%,34.6%
P,mg/kgTS,organic,85,,5,1438,1700,3000,4000,5000,12950
P,mg/kgTS,food waste,23,,489,1659,4400,5200,12045,23386,30455
P,mg/kgTS,gardening waste,27,,21,28,666,1184,3400,4340,15900
P,mg/kgTS,paper & cardboard,18,,38,43,109,164,291,422,1100
P,mg/kgTS,composites,4,,189,189,224,340,373,380,380
P,mg/kgTS,plastic,10,,15,16,63,244,445,5104,5610
P,mg/kgTS,combustibles,27,,13,30,148,300,608,1294,2300
P,mg/kgTS,metal,6,,110,110,139,232,498,551,551
P,mg/kgTS,glass,6,1,64,64,70,98,212,480,480
P,mg/kgTS,inert,9,,0,0,141,439,1585,1920,1920
P,mg/kgTS,mix,62,,550,736,1051,14850,26725,36750,58800
Pb,mg/kgTS,organic,68,,0.0,3.4,6.7,10.7,89.1,250.3,643.2
Pb,mg/kgTS,food waste,105,40,0.0,2.0,2.0,11.0,56.9,157.6,666.9
Pb,mg/kgTS,gardening waste,25,,0.0,2.0,6.7,9.6,23.7,54.8,255.3
Pb,mg/kgTS,paper & cardboard,88,2,0.0,2.7,7.6,17.4,39.8,74.4,316.0
Pb,mg/kgTS,composites,15,,0.7,1.0,9.0,34.0,363.3,575.2,638.0
Pb,mg/kgTS,plastic,102,,0.8,21.9,46.6,98.2,247.0,602.0,1595.0
Pb,mg/kgTS,combustibles,155,3,0.0,9.1,23.0,53.8,147.0,405.2,6900.0
Pb,mg/kgTS,metal,67,1,0.0,0.0,9.0,33.0,90.0,1283.2,30010.0
Pb,mg/kgTS,glass,51,,0.0,0.0,24.6,81.5,189.1,628.0,889.0
Pb,mg/kgTS,inert,50,,0.0,13.1,41.3,88.4,382.3,1910.5,11740.0
Pb,mg/kgTS,mix,102,3,0.0,47.4,107.1,191.9,544.6,764.0,1092.1
S,mg/kgTS,organic,67,,1500,1888,2000,2000,2170,3020,4100
S,mg/kgTS,food waste,175,,0,1960,2900,3780,5600,7510,101700
S,mg/kgTS,gardening waste,39,,0,51,557,1000,3000,4000,17065
S,mg/kgTS,paper & cardboard,81,,0,526,944,1400,2000,3000,6000
S,mg/kgTS,composites,37,,0,0,1000,2000,8000,18200,61000
S,mg/kgTS,plastic,101,2,0,0,520,1125,3000,6000,28740
S,mg/kgTS,combustibles,142,3,0,587,1000,2600,6428,14654,34000
S,mg/kgTS,metal,13,2,30,30,95,297,500,808,808
S,mg/kgTS,glass,11,,50,58,111,687,1000,1383,1400
S,mg/kgTS,inert,15,,0,0,0,1920,3590,10164,10410
S,mg/kgTS,mix,85,,0,419,1694,2800,6490,8006,38000
Sb,mg/kgTS,organic,12,5,0.02,0.16,0.50,0.60,2.60,34.04,47.00
Sb,mg/kgTS,food waste,2,1,0.00,0.00,0.00,0.25,0.50,0.50,0.50
Sb,mg/kgTS,gardening waste,13,4,0.00,0.00,0.00,0.04,0.11,0.18,0.20
Sb,mg/kgTS,paper & cardboard,8,2,0.00,0.00,0.20,0.56,2.45,7.90,7.90
Sb,mg/kgTS,composites,,,,,,,,,
Sb,mg/kgTS,plastic,14,,0.00,0.00,12.88,24.00,129.23,242.18,270.60
Sb,mg/kgTS,combustibles,23,,0.00,0.00,0.90,6.20,13.00,22.68,86.30
Sb,mg/kgTS,metal,8,1,0.50,0.50,6.45,11.40,48.73,2000.00,2000.00
Sb,mg/kgTS,glass,6,,5.90,5.90,5.98,12.28,31.70,81.20,81.20
Sb,mg/kgTS,inert,7,1,0.00,0.00,0.50,2.70,6.07,11.10,11.10
Sb,mg/kgTS,mix,34,,0.00,15.16,34.28,62.90,200.10,336.00,420.00
Sc,mg/kgTS,organic,,,,,,,,,
Sc,mg/kgTS,food waste,,,,,,,,,
Sc,mg/kgTS,gardening waste,12,,0.32,0.37,0.95,1.37,1.73,2.66,2.97
Sc,mg/kgTS,paper & cardboard,,,,,,,,,
Sc,mg/kgTS,composites,,,,,,,,,
Sc,mg/kgTS,plastic,,,,,,,,,
Sc,mg/kgTS,combustibles,,,,,,,,,
Sc,mg/kgTS,metal,,,,,,,,,
Sc,mg/kgTS,glass,,,,,,,,,
Sc,mg/kgTS,inert,,,,,,,,,
Sc,mg/kgTS,mix,3,,0.88,0.88,0.88,0.96,1.04,1.04,1.04
Se,mg/kgTS,organic,5,4,0.04,0.04,1.02,2.00,2.00,2.00,2.00
Se,mg/kgTS,food waste,2,2,1.00,1.00,1.00,1.50,2.00,2.00,2.00
Se,mg/kgTS,gardening waste,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Se,mg/kgTS,paper & cardboard,3,1,0.06,0.06,0.06,0.07,2.00,2.00,2.00
Se,mg/kgTS,composites,1,,0.17,0.17,0.17,0.17,0.17,0.17,0.17
Se,mg/kgTS,plastic,3,2,0.55,0.55,0.55,2.00,50.00,50.00,50.00
Se,mg/kgTS,combustibles,7,3,0.08,0.08,0.10,2.00,2.00,3.10,3.10
Se,mg/kgTS,metal,3,2,0.25,0.25,0.25,2.00,2.00,2.00,2.00
Se,mg/kgTS,glass,2,1,0.69,0.69,0.69,1.35,2.00,2.00,2.00
Se,mg/kgTS,inert,2,1,0.12,0.12,0.12,1.06,2.00,2.00,2.00
Se,mg/kgTS,mix,10,,0.00,0.00,0.02,0.32,0.46,0.77,0.80
Si,mg/kgTS,organic,1,,488,488,488,488,488,488,488
Si,mg/kgTS,food waste,,,,,,,,,
Si,mg/kgTS,gardening waste,12,,37000,42400,94283,143733,182500,253663,254393
Si,mg/kgTS,paper & cardboard,2,,12200,12200,12200,12400,12600,12600,12600
Si,mg/kgTS,composites,,,,,,,,,
Si,mg/kgTS,plastic,1,,1670,1670,1670,1670,1670,1670,1670
Si,mg/kgTS,combustibles,3,,3980,3980,3980,5110,140000,140000,140000
Si,mg/kgTS,metal,1,,168,168,168,168,168,168,168
Si,mg/kgTS,glass,1,,342000,342000,342000,342000,342000,342000,342000
Si,mg/kgTS,inert,1,,270000,270000,270000,270000,270000,270000,270000
Si,mg/kgTS,mix,24,,1447,1700,7443,38579,54480,64099,69200
Sn,mg/kgTS,organic,10,,1.2,1.5,5.6,8.0,8.9,14.1,14.7
Sn,mg/kgTS,food waste,2,,22.0,22.0,22.0,27.3,32.5,32.5,32.5
Sn,mg/kgTS,gardening waste,13,4,3.0,3.4,7.1,12.0,15.9,26.4,32.2
Sn,mg/kgTS,paper & cardboard,6,1,1.0,1.0,1.2,1.4,12.6,23.5,23.5
Sn,mg/kgTS,composites,2,,32.3,32.3,32.3,40.4,48.5,48.5,48.5
Sn,mg/kgTS,plastic,7,1,0.9,0.9,5.0,17.7,34.0,46.4,46.4
Sn,mg/kgTS,combustibles,20,2,0.6,1.0,3.4,10.3,14.7,21.2,22.4
Sn,mg/kgTS,metal,5,1,67.0,67.0,498.5,1620.0,2745.0,3710.0,3710.0
Sn,mg/kgTS,glass,4,,7.1,7.1,7.5,13.5,20.3,21.0,21.0
Sn,mg/kgTS,inert,6,,0.0,0.0,5.6,16.0,45.9,102.4,102.4
Sn,mg/kgTS,mix,45,,15.0,25.6,42.9,76.1,104.4,126.5,321.0
Sr,mg/kgTS,organic,1,,88.1,88.1,88.1,88.1,88.1,88.1,88.1
Sr,mg/kgTS,food waste,,,,,,,,,
Sr,mg/kgTS,gardening waste,12,,25.0,28.6,56.9,67.6,104.9,803.1,864.0
Sr,mg/kgTS,paper & cardboard,2,,68.5,68.5,68.5,83.5,98.4,98.4,98.4
Sr,mg/kgTS,composites,,,,,,,,,
Sr,mg/kgTS,plastic,1,,13.3,13.3,13.3,13.3,13.3,13.3,13.3
Sr,mg/kgTS,combustibles,2,,20.9,20.9,20.9,29.0,37.0,37.0,37.0
Sr,mg/kgTS,metal,1,,21.5,21.5,21.5,21.5,21.5,21.5,21.5
Sr,mg/kgTS,glass,1,,208.0,208.0,208.0,208.0,208.0,208.0,208.0
Sr,mg/kgTS,inert,1,,208.0,208.0,208.0,208.0,208.0,208.0,208.0
Sr,mg/kgTS,mix,6,,97.0,97.0,115.0,130.0,145.0,163.0,163.0
Ti,mg/kgTS,organic,9,,8,8,34,120,1175,2200,2200
Ti,mg/kgTS,food waste,1,,45,45,45,45,45,45,45
Ti,mg/kgTS,gardening waste,12,,200,230,413,788,1050,1502,1607
Ti,mg/kgTS,paper & cardboard,4,,10,10,10,13,30,34,34
Ti,mg/kgTS,composites,,,,,,,,,
Ti,mg/kgTS,plastic,3,,821,821,821,4200,4433,4433,4433
Ti,mg/kgTS,combustibles,10,,8,8,13,150,1450,2050,2067
Ti,mg/kgTS,metal,5,,46,46,568,1100,2025,2150,2150
Ti,mg/kgTS,glass,3,,230,230,230,250,289,289,289
Ti,mg/kgTS,inert,3,,1533,1533,1533,2000,3730,3730,3730
Ti,mg/kgTS,mix,14,,529,673,1101,1680,2425,2833,2990
V,mg/kgTS,organic,32,,3.90,7.92,9.57,16.22,28.86,33.23,70.00
V,mg/kgTS,food waste,1,1,1.00,1.00,1.00,1.00,1.00,1.00,1.00
V,mg/kgTS,gardening waste,12,,3.00,3.54,7.44,13.03,18.00,23.08,23.85
V,mg/kgTS,paper & cardboard,2,2,1.00,1.00,1.00,1.00,1.00,1.00,1.00
V,mg/kgTS,plastic,2,2,1.00,1.00,1.00,1.00,1.00,1.00,1.00
V,mg/kgTS,combustibles,8,4,1.00,1.00,1.00,1.75,4.38,5.00,5.00
V,mg/kgTS,metal,4,1,1.00,1.00,2.05,20.05,35.73,36.00,36.00
V,mg/kgTS,glass,2,1,1.00,1.00,1.00,1.50,2.00,2.00,2.00
V,mg/kgTS,inert,2,,42.00,42.00,42.00,42.35,42.70,42.70,42.70
V,mg/kgTS,mix,11,,4.39,4.69,7.58,10.20,11.80,17.52,18.40
W,mg/kgTS,organic,,,,,,,,,
W,mg/kgTS,food waste,1,,3.3,3.3,3.3,3.3,3.3,3.3,3.3
W,mg/kgTS,gardening waste,13,4,4.0,4.8,13.0,25.7,31.8,39.4,41.7
W,mg/kgTS,paper & cardboard,,,,,,,,,
W,mg/kgTS,composites,,,,,,,,,
W,mg/kgTS,plastic,,,,,,,,,
W,mg/kgTS,combustibles,,,,,,,,,
W,mg/kgTS,metal,,,,,,,,,
W,mg/kgTS,glass,,,,,,,,,
W,mg/kgTS,inert,,,,,,,,,
W,mg/kgTS,mix,3,,8.0,8.0,8.0,56.0,104.0,104.0,104.0
Y,mg/kgTS,organic,,,,,,,,,
Y,mg/kgTS,food waste,,,,,,,,,
Y,mg/kgTS,gardening waste,12,,1.1,1.4,2.7,4.7,6.5,10.0,10.5
Y,mg/kgTS,paper & cardboard,,,,,,,,,
Y,mg/kgTS,composites,,,,,,,,,
Y,mg/kgTS,plastic,,,,,,,,,
Y,mg/kgTS,combustibles,,,,,,,,,
Y,mg/kgTS,metal,,,,,,,,,
Y,mg/kgTS,glass,,,,,,,,,
Y,mg/kgTS,inert,,,,,,,,,
Y,mg/kgTS,mix,3,,4.4,4.4,4.4,7.9,11.4,11.4,11.4
Zn,mg/kgTS,organic,63,,0.0,28.3,35.7,75.0,182.0,346.0,1010.0
Zn,mg/kgTS,food waste,123,,0.0,7.5,12.1,56.0,144.6,295.8,931.4
Zn,mg/kgTS,gardening waste,30,,0.0,0.7,26.8,64.0,168.3,469.6,696.3
Zn,mg/kgTS,paper & cardboard,88,,0.0,25.3,38.2,77.7,175.5,380.4,1997.0
Zn,mg/kgTS,composites,16,,3.7,9.0,66.1,176.0,1815.7,6153.9,7577.0
Zn,mg/kgTS,plastic,82,,14.3,43.5,107.1,258.7,647.3,1246.9,9204.0
Zn,mg/kgTS,combustibles,133,,0.0,40.8,101.2,230.0,719.5,4121.2,19475.0
Zn,mg/kgTS,metal,64,,0.0,0.0,28.3,103.5,1045.0,30446.0,199000.0
Zn,mg/kgTS,glass,44,,0.0,0.0,26.3,54.5,155.6,277.6,575.9
Zn,mg/kgTS,inert,44,,0.0,28.5,88.0,343.0,807.1,1693.2,2862.2
Zn,mg/kgTS,mix,131,,23.3,70.8,126.3,323.8,1100.0,1704.4,2677.0
Zr,mg/kgTS,organic,,,,,,,,,
Zr,mg/kgTS,food waste,,,,,,,,,
Zr,mg/kgTS,gardening waste,12,,19,22,36,78,125,205,219
Zr,mg/kgTS,paper & cardboard,,,,,,,,,
Zr,mg/kgTS,composites,,,,,,,,,
Zr,mg/kgTS,plastic,,,,,,,,,
Zr,mg/kgTS,combustibles,,,,,,,,,
Zr,mg/kgTS,metal,,,,,,,,,
Zr,mg/kgTS,glass,,,,,,,,,
Zr,mg/kgTS,inert,,,,,,,,,
Zr,mg/kgTS,mix,3,,74,74,74,116,158,158,158
