Element,Unit,Fraction,n_data*,n_<DL**,Min,10%,25%,Median,75%,90%,Max
Ba,mg/kgTS,combustibles,6,,0.0,0.0,0.0,5.3,297.5,1071.0,1071.0
Ba,mg/kgTS,metal,1,,464.0,464.0,464.0,464.0,464.0,464.0,464.0
Ba,mg/kgTS,glass,1,,1330.0,1330.0,1330.0,1330.0,1330.0,1330.0,1330.0
Ba,mg/kgTS,inert,2,,0.0,0.0,0.0,269.5,539.0,539.0,539.0
Ba,mg/kgTS,mix,14,,13.6,21.0,335.8,543.5,730.0,804.5,809.0
Be,mg/kgTS,organic,9,1,0.02,0.02,0.25,0.50,1.20,2.00,2.00
Be,mg/kgTS,food waste,2,,0.00,0.00,0.00,0.10,0.20,0.20,0.20
Be,mg/kgTS,gardening waste,13,,0.00,0.04,0.21,0.43,0.49,0.59,0.63
Be,mg/kgTS,paper & cardboard,5,,0.00,0.00,0.05,0.14,0.20,0.20,0.20
Be,mg/kgTS,composites,,,,,,,,,
Be,mg/kgTS,plastic,5,1,0.00,0.00,0.00,0.08,0.20,0.20,0.20
Be,mg/kgTS,combustibles,14,,0.00,0.00,0.00,0.20,0.20,0.20,0.20
Be,mg/kgTS,metal,3,1,0.10,0.10,0.10,3.10,50.00,50.00,50.00
Be,mg/kgTS,glass,3,,0.20,0.20,0.20,0.20,0.60,0.60,0.60
Be,mg/kgTS,inert,4,,0.00,0.00,0.15,1.30,2.45,2.60,2.60
Be,mg/kgTS,mix,8,,0.00,0.00,0.26,0.36,2.86,3.18,3.18
Br,%TS,organic,9,7,0.001%,0.001%,0.001%,0.002%,0.003%,0.003%,0.003%
Br,%TS,food waste,1,1,0.001%,0.001%,0.001%,0.001%,0.001%,0.001%,0.001%
Br,%TS,gardening waste,,,,,,,,,
Br,%TS,paper & cardboard,4,2,0.001%,0.001%,0.001%,0.001%,0.002%,0.003%,0.003%
Br,%TS,composites,,,,,,,,,
Br,%TS,plastic,3,1,0.000%,0.000%,0.000%,0.003%,0.145%,0.145%,0.145%
Br,%TS,combustibles,10,7,0.000%,0.000%,0.001%,0.003%,0.003%,0.052%,0.057%
Br,%TS,metal,2,2,0.001%,0.001%,0.001%,0.001%,0.001%,0.001%,0.001%
Br,%TS,glass,2,2,0.000%,0.000%,0.000%,0.001%,0.001%,0.001%,0.001%
Br,%TS,inert,2,1,0.000%,0.000%,0.000%,0.001%,0.001%,0.001%,0.001%
Br,%TS,mix,16,1,0.002%,0.002%,0.012%,0.016%,0.020%,0.024%,0.026%
C,%TS,organic,61,,30.0%,40.2%,45.6%,47.2%,49.0%,50.0%,54.0%
C,%TS,food waste,211,,4.4%,39.5%,45.2%,47.9%,49.8%,51.6%,73.0%
C,%TS,gardening waste,49,,15.8%,26.5%,31.7%,41.8%,45.5%,47.8%,50.1%
C,%TS,paper & cardboard,113,,30.2%,34.4%,37.0%,40.5%,43.3%,46.2%,53.4%
C,%TS,composites,42,,18.0%,34.0%,39.9%,45.0%,49.0%,56.1%,72.0%
C,%TS,plastic,137,,33.3%,40.7%,60.0%,73.0%,84.5%,86.1%,92.1%
