Material type,Waste flow,Physiochemical property,Unit,min,max,diff,sector
food waste,residual,Ti,mg/kgTS,36.398,179.154,3.9220836309687344,MSW_URB_FOOD
food waste,residual,Tl,mg/kgTS,0.3651,0.370567,0.014973979731580388,MSW_URB_FOOD
food waste,residual,Tm,mg/kgTS,0.009267,0.009367,0.010790978741772001,MSW_URB_FOOD
food waste,residual,U,mg/kgTS,0.0134,0.073,4.44776119402985,MSW_URB_FOOD
food waste,residual,V,mg/kgTS,0.6632,1.2947,0.9522014475271411,MSW_URB_FOOD
food waste,residual,VS,%TS,75.9333,89.0667,0.17295968962233954,MSW_URB_FOOD
food waste,residual,W,mg/kgTS,0.6181,2.81477,3.553907134767837,MSW_URB_FOOD
food waste,residual,Yb,mg/kgTS,0.009167,0.031,2.3816952110832332,MSW_URB_FOOD
food waste,residual,Zn,mg/kgTS,39.304,57.32,0.45837573783838786,MSW_URB_FOOD
food waste,residual,Zr,mg/kgTS,0.7842,3.186,3.0627390971690893,MSW_URB_FOOD
food waste,residual,ash,%TS,10.92,24.04,1.2014652014652014,MSW_URB_FOOD
gardening waste,residual,Ag,mg/kgTS,1.1611,42.8973,35.945396606666094,
gardening waste,residual,Al,mg/kgTS,1312.9,16579.2,11.62792291872953,
gardening waste,residual,As,mg/kgTS,2.1687,14.3164,5.601374095080002,
gardening waste,residual,Au,mg/kgTS,0.15662,1.00413,5.411250159622015,
gardening waste,residual,Ba,mg/kgTS,37.759,283.779,6.515532720675865,
gardening waste,residual,Be,mg/kgTS,1.3381,1.84287,0.37722890665869513,
gardening waste,residual,Br,%TS,0.001,0.002433,1.4329999999999998,
gardening waste,residual,C,%TS,27.8433,45.4167,0.6311536348062191,
gardening waste,residual,Ca,mg/kgTS,9890.5,73042.5,6.385117031494869,
gardening waste,residual,Cd,mg/kgTS,0.15663,1.67437,9.68996999297708,
gardening waste,residual,Ce,mg/kgTS,1.8228,14.3323,6.8627935044985735,
gardening waste,residual,Cl,%TS,0.076533,0.479267,5.262226751858675,
gardening waste,residual,Co,mg/kgTS,0.61803,2.46205,2.9837062925747944,
gardening waste,residual,Cr,mg/kgTS,5.8394,38.8613,5.655015926293797,
gardening waste,residual,Cs,mg/kgTS,0.6726,11.3373,15.855932203389834,
gardening waste,residual,Cu,mg/kgTS,20.5269,80.8818,2.940283238092454,
gardening waste,residual,Dy,mg/kgTS,0.107267,0.8616,7.032293249554849,
gardening waste,residual,Er,mg/kgTS,0.066967,0.524167,6.827243269072828,
gardening waste,residual,Eu,mg/kgTS,0.042833,0.223367,4.2148343566876,
gardening waste,residual,F,%TS,0.001333,0.0092,5.901725431357839,
gardening waste,residual,Fe,mg/kgTS,1142.6,7292.97,5.382784876597236,
gardening waste,residual,Ga,mg/kgTS,1.3238,8.51603,5.433018582867502,
gardening waste,residual,Gd,mg/kgTS,0.1308,1.63517,11.501299694189603,
gardening waste,residual,Ge,mg/kgTS,0.1663,0.510167,2.0677510523150935,
gardening waste,residual,H,%TS,4.56933,6.168,0.34986967454747203,
