Material type,Waste flow,Physiochemical property,Unit,min,max,diff,sector
glass,source-segegated,Zr,mg/kgTS,101.529,126.843,0.249327778270248,MSW_URB_GLA
glass,source-segegated,ash,%TS,99.1933,99.61,0.00420088856807875,MSW_URB_GLA
paper & cardboard,residual,Ag,mg/kgTS,0.5328032,83.8523,156.3794977207344,MSW_URB_PAP
paper & cardboard,residual,Al,mg/kgTS,706.0241000000001,15064.406400000003,20.336957761073595,MSW_URB_PAP
paper & cardboard,residual,As,mg/kgTS,0.9538359999999999,8.667693400000001,8.08719465400761,MSW_URB_PAP
paper & cardboard,residual,Au,mg/kgTS,0.0157744,1.3505574999999999,84.61704407140682,MSW_URB_PAP
paper & cardboard,residual,Ba,mg/kgTS,6.25,150.48696,23.077913600000002,MSW_URB_PAP
paper & cardboard,residual,Be,mg/kgTS,0.9538414,2.7986208199999996,1.9340525793910808,MSW_URB_PAP
paper & cardboard,residual,Br,%TS,0.001,0.001333,0.33299999999999996,MSW_URB_PAP
paper & cardboard,residual,C,%TS,33.805044,49.431882,0.46226350126921883,MSW_URB_PAP
paper & cardboard,residual,Ca,mg/kgTS,7831.0,94828.18,11.109332141488954,MSW_URB_PAP
paper & cardboard,residual,Cd,mg/kgTS,0.0511,1.1513184500000002,21.530693737769084,MSW_URB_PAP
paper & cardboard,residual,Ce,mg/kgTS,0.6663,7.728331499999999,10.598876632147679,MSW_URB_PAP
paper & cardboard,residual,Cl,%TS,0.03174394,0.516433,15.268711445397138,MSW_URB_PAP
paper & cardboard,residual,Co,mg/kgTS,0.4464,5.080878500000001,10.381896281362009,MSW_URB_PAP
paper & cardboard,residual,Cr,mg/kgTS,1.1823839999999999,10.282168900000002,7.696133320477953,MSW_URB_PAP
paper & cardboard,residual,Cs,mg/kgTS,0.25844183,3.7222263599999996,13.402569274486256,MSW_URB_PAP
paper & cardboard,residual,Cu,mg/kgTS,10.133569,73.73802699999999,6.276609751214009,MSW_URB_PAP
paper & cardboard,residual,Dy,mg/kgTS,0.0238,0.601136284,24.257827058823523,MSW_URB_PAP
paper & cardboard,residual,Er,mg/kgTS,0.020767,0.441639971,20.266430924062217,MSW_URB_PAP
paper & cardboard,residual,Eu,mg/kgTS,0.010933,0.386555794,34.35679081679319,MSW_URB_PAP
paper & cardboard,residual,F,%TS,0.0010428890000000002,0.0078169,6.4954285643055005,MSW_URB_PAP
paper & cardboard,residual,Fe,mg/kgTS,234.03799999999998,2619.7009,10.193485245985695,MSW_URB_PAP
paper & cardboard,residual,Ga,mg/kgTS,0.6798,4.5022105,5.6228456899087975,MSW_URB_PAP
paper & cardboard,residual,Gd,mg/kgTS,0.03143,0.7007017000000001,21.294040725421578,MSW_URB_PAP
paper & cardboard,residual,Ge,mg/kgTS,0.15265005999999998,0.171489909,0.1234185495898267,MSW_URB_PAP
paper & cardboard,residual,H,%TS,5.06844,8.7970588,0.7356541263189463,MSW_URB_PAP
paper & cardboard,residual,HHV,MJ/kgTS,12.0256208,24.7798,1.060583849442517,MSW_URB_PAP
paper & cardboard,residual,Hf,mg/kgTS,0.07881182,0.5582824799999999,6.083740484612586,MSW_URB_PAP
paper & cardboard,residual,Hg,μg/kgTS,4.88706,28.067,4.743125723850332,MSW_URB_PAP
paper & cardboard,residual,Ho,mg/kgTS,0.004467,0.35957010600000006,79.4947629281397,MSW_URB_PAP
paper & cardboard,residual,In,mg/kgTS,0.005966928000000001,0.030623683,4.1322360517841,MSW_URB_PAP
paper & cardboard,residual,Ir,mg/kgTS,0.025866590000000002,0.16850806000000002,5.514506164129095,MSW_URB_PAP
paper & cardboard,residual,K,mg/kgTS,573.1787999999999,4457.77,6.777276479869809,MSW_URB_PAP
paper & cardboard,residual,LHV,MJ/kgTS,10.822189868414,23.272638724000004,1.150455592349594,MSW_URB_PAP
paper & cardboard,residual,La,mg/kgTS,0.34687,4.04694428,10.667034566264018,MSW_URB_PAP
paper & cardboard,residual,Li,mg/kgTS,0.6804226,4.653886699999999,5.839700356807666,MSW_URB_PAP
paper & cardboard,residual,Lu,mg/kgTS,0.0067,0.7109405200000001,105.11052537313434,MSW_URB_PAP
paper & cardboard,residual,Mg,mg/kgTS,523.56543,1941.8441500000001,2.708885344091569,MSW_URB_PAP
paper & cardboard,residual,Mn,mg/kgTS,21.212877,84.292509,2.9736481289171666,MSW_URB_PAP
paper & cardboard,residual,Mo,mg/kgTS,0.42988422000000004,1.66573327,2.8748416259615204,MSW_URB_PAP
paper & cardboard,residual,N,%TS,0.151654,0.948,5.251071518060849,MSW_URB_PAP
paper & cardboard,residual,Na,mg/kgTS,1061.1636899999999,4215.43,2.9724597060044533,MSW_URB_PAP
paper & cardboard,residual,Nb,mg/kgTS,0.042502813,0.486767,10.452583150202317,MSW_URB_PAP
paper & cardboard,residual,Nd,mg/kgTS,0.21367,2.86600671,12.413238685823934,MSW_URB_PAP
paper & cardboard,residual,Ni,mg/kgTS,0.619198,10.9725,16.720502973200816,MSW_URB_PAP
paper & cardboard,residual,O,%TS,34.8705,46.795,0.34196527150456696,MSW_URB_PAP
paper & cardboard,residual,P,mg/kgTS,98.5572,1195.93,11.134374759023189,MSW_URB_PAP
paper & cardboard,residual,Pb,mg/kgTS,0.8868039999999999,20.778007499999998,22.43021400444743,MSW_URB_PAP
paper & cardboard,residual,Pd,mg/kgTS,0.064567,0.40146446500000005,5.21779647497948,MSW_URB_PAP
paper & cardboard,residual,Pr,mg/kgTS,0.06183,1.0735303500000002,16.362612809315866,MSW_URB_PAP
paper & cardboard,residual,Pt,mg/kgTS,0.012233309000000001,0.065016401,4.3147027513161,MSW_URB_PAP
paper & cardboard,residual,Rb,mg/kgTS,1.2879584,9.9710976,6.741785448971022,MSW_URB_PAP
paper & cardboard,residual,Re,mg/kgTS,0.00382112,0.069067,17.075066996063985,MSW_URB_PAP
paper & cardboard,residual,Rh,mg/kgTS,0.000838961,0.0017,1.0263158835750408,MSW_URB_PAP
paper & cardboard,residual,Ru,mg/kgTS,0.011405071999999999,0.031967,1.802875773164782,MSW_URB_PAP
paper & cardboard,residual,S,mg/kgTS,513.9368000000001,4810.47,8.360041935117312,MSW_URB_PAP
paper & cardboard,residual,Sb,mg/kgTS,0.04743616,0.87783,17.505502974945696,MSW_URB_PAP
paper & cardboard,residual,Sc,mg/kgTS,0.14563,0.8280571199999999,4.68603392158209,MSW_URB_PAP
paper & cardboard,residual,Se,mg/kgTS,35.2822422,48.918,0.38647650913750603,MSW_URB_PAP
paper & cardboard,residual,Si,mg/kgTS,797.3153100000001,8604.23,9.791502297880118,MSW_URB_PAP
paper & cardboard,residual,Sm,mg/kgTS,0.03137,0.80527914,24.670358304112206,MSW_URB_PAP
paper & cardboard,residual,Sn,mg/kgTS,0.406172,8.324843999999999,19.495858897215957,MSW_URB_PAP
paper & cardboard,residual,Sr,mg/kgTS,18.943,268.508985,13.174575568811697,MSW_URB_PAP
paper & cardboard,residual,Ta,mg/kgTS,0.003109682,0.077867,24.040180957409795,MSW_URB_PAP
paper & cardboard,residual,Tb,mg/kgTS,0.006367,0.050940931999999994,7.000774619129888,MSW_URB_PAP
paper & cardboard,residual,Th,mg/kgTS,0.05287,3.2130113900000006,59.77191961414792,MSW_URB_PAP
paper & cardboard,residual,Ti,mg/kgTS,4.968559999999999,182.994,35.83038948910752,MSW_URB_PAP
paper & cardboard,residual,Tl,mg/kgTS,0.05093889,1.4099360099999998,26.678970036449552,MSW_URB_PAP
paper & cardboard,residual,Tm,mg/kgTS,0.00953,0.7018972800000001,72.65134102833159,MSW_URB_PAP
paper & cardboard,residual,U,mg/kgTS,0.0314,0.9909781200000001,30.55981273885351,MSW_URB_PAP
paper & cardboard,residual,V,mg/kgTS,0.96719,3.12277215,2.2287059936517126,MSW_URB_PAP
paper & cardboard,residual,VS,%TS,65.9724406,93.32,0.4145300545391676,MSW_URB_PAP
paper & cardboard,residual,W,mg/kgTS,0.23908815000000003,1.2479571,4.219652667854931,MSW_URB_PAP
paper & cardboard,residual,Yb,mg/kgTS,0.025867,0.415303402,15.055336993079983,MSW_URB_PAP
paper & cardboard,residual,Zn,mg/kgTS,9.3538,38.064879,3.0694561568560372,MSW_URB_PAP
paper & cardboard,residual,Zr,mg/kgTS,2.237062,30.180242,12.491017235999717,MSW_URB_PAP
paper & cardboard,residual,ash,%TS,6.68,34.0275594,4.093946017964072,MSW_URB_PAP
paper & cardboard,source-segegated,Ag,mg/kgTS,0.5204,0.5674929999999999,0.09049385088393533,MSW_URB_PAP
paper & cardboard,source-segegated,Al,mg/kgTS,1152.2418,10215.4801,7.865743370879272,MSW_URB_PAP
paper & cardboard,source-segegated,As,mg/kgTS,0.9294,1.2714397,0.3680220572412308,MSW_URB_PAP
paper & cardboard,source-segegated,Au,mg/kgTS,0.0074,0.0119209,0.6109324324324323,MSW_URB_PAP
paper & cardboard,source-segegated,Ba,mg/kgTS,7.04,765.4604200000001,107.73017329545456,MSW_URB_PAP
paper & cardboard,source-segegated,Be,mg/kgTS,0.92937,0.9584685500000001,0.0313099734228564,MSW_URB_PAP
paper & cardboard,source-segegated,Br,%TS,0.0009989999999999999,0.00193108,0.9330130130130132,MSW_URB_PAP
paper & cardboard,source-segegated,C,%TS,34.52,44.08,0.27694090382387004,MSW_URB_PAP
paper & cardboard,source-segegated,Ca,mg/kgTS,11126.0,86500.0,6.774582060039547,MSW_URB_PAP
paper & cardboard,source-segegated,Cd,mg/kgTS,0.05603,0.13086108,1.3355538104586826,MSW_URB_PAP
paper & cardboard,source-segegated,Ce,mg/kgTS,0.7302,9.483237899999999,11.987178718159408,MSW_URB_PAP
paper & cardboard,source-segegated,Cl,%TS,0.018901322,0.397467,20.028529115582497,MSW_URB_PAP
paper & cardboard,source-segegated,Co,mg/kgTS,0.2368,1.6121,5.807854729729731,MSW_URB_PAP
paper & cardboard,source-segegated,Cr,mg/kgTS,1.97002,8.0840341,3.103528948944681,MSW_URB_PAP
paper & cardboard,source-segegated,Cs,mg/kgTS,0.2169,0.50693118,1.3371654218533888,MSW_URB_PAP
paper & cardboard,source-segegated,Cu,mg/kgTS,5.521388,76.375927,12.83274042686368,MSW_URB_PAP
paper & cardboard,source-segegated,Dy,mg/kgTS,0.05,0.4683,8.366,MSW_URB_PAP
paper & cardboard,source-segegated,Er,mg/kgTS,0.018833,0.200267,9.633834227154464,MSW_URB_PAP
paper & cardboard,source-segegated,Eu,mg/kgTS,0.0123,0.122308316,8.943765528455284,MSW_URB_PAP
paper & cardboard,source-segegated,F,%TS,0.001003099,0.005164217,4.148262534405877,MSW_URB_PAP
paper & cardboard,source-segegated,Fe,mg/kgTS,289.81759999999997,2916.366,9.06276361408003,MSW_URB_PAP
paper & cardboard,source-segegated,Ga,mg/kgTS,0.672,15.9469916,22.73064226190476,MSW_URB_PAP
paper & cardboard,source-segegated,Gd,mg/kgTS,0.05113,0.5526237100000001,9.808208683747312,MSW_URB_PAP
paper & cardboard,source-segegated,Ge,mg/kgTS,0.1487,0.153376211,0.03144728312037669,MSW_URB_PAP
paper & cardboard,source-segegated,H,%TS,4.8274,7.5466318,0.5632911712308903,MSW_URB_PAP
paper & cardboard,source-segegated,HHV,MJ/kgTS,11.9174,17.3288,0.45407555339251854,MSW_URB_PAP
paper & cardboard,source-segegated,Hf,mg/kgTS,0.06791887,0.91637,12.492126709410801,MSW_URB_PAP
paper & cardboard,source-segegated,Hg,μg/kgTS,5.7489550000000005,127.718165,21.21589227955341,MSW_URB_PAP
paper & cardboard,source-segegated,Ho,mg/kgTS,0.044,0.085033,0.9325681818181819,MSW_URB_PAP
paper & cardboard,source-segegated,In,mg/kgTS,0.0071,0.032332429999999995,3.553863380281689,MSW_URB_PAP
paper & cardboard,source-segegated,Ir,mg/kgTS,0.006267,0.027097128999999998,3.3237799585128442,MSW_URB_PAP
paper & cardboard,source-segegated,K,mg/kgTS,429.17,836.1,0.9481790432695668,MSW_URB_PAP
paper & cardboard,source-segegated,LHV,MJ/kgTS,10.856868494,15.824055314,0.457515610762449,MSW_URB_PAP
paper & cardboard,source-segegated,La,mg/kgTS,0.3961,4.3524281,9.988205251199192,MSW_URB_PAP
paper & cardboard,source-segegated,Li,mg/kgTS,1.0372477,6.842570299999999,5.596852709338377,MSW_URB_PAP
paper & cardboard,source-segegated,Lu,mg/kgTS,0.00973,0.02877,1.9568345323741008,MSW_URB_PAP
paper & cardboard,source-segegated,Mg,mg/kgTS,573.7501400000001,2242.50943,2.9085122140449493,MSW_URB_PAP
paper & cardboard,source-segegated,Mn,mg/kgTS,7.861,46.966992999999995,4.9746842640885385,MSW_URB_PAP
paper & cardboard,source-segegated,Mo,mg/kgTS,0.29023333999999995,2.0149359,5.942468773573705,MSW_URB_PAP
paper & cardboard,source-segegated,N,%TS,0.098072,1.296,12.21478097724121,MSW_URB_PAP
paper & cardboard,source-segegated,Na,mg/kgTS,1021.5104699999999,1468.46502,0.43754279875369284,MSW_URB_PAP
paper & cardboard,source-segegated,Nb,mg/kgTS,0.016833,0.135248737,7.034737539357215,MSW_URB_PAP
paper & cardboard,source-segegated,Nd,mg/kgTS,0.3006,3.58624331,10.930283799068532,MSW_URB_PAP
paper & cardboard,source-segegated,Ni,mg/kgTS,0.5274698000000001,9.5165,17.041791207762035,MSW_URB_PAP
paper & cardboard,source-segegated,O,%TS,,,,MSW_URB_PAP
paper & cardboard,source-segegated,P,mg/kgTS,86.98356000000001,178.42583000000002,1.0512592264561258,MSW_URB_PAP
paper & cardboard,source-segegated,Pb,mg/kgTS,0.8585355,14.3234131,15.683542031750578,MSW_URB_PAP
paper & cardboard,source-segegated,Pd,mg/kgTS,0.3871,0.399183501,0.03121545078791009,MSW_URB_PAP
paper & cardboard,source-segegated,Pr,mg/kgTS,0.08197,1.02081389,11.45350603879468,MSW_URB_PAP
paper & cardboard,source-segegated,Pt,mg/kgTS,0.011933,0.013040467,0.092807089583508,MSW_URB_PAP
paper & cardboard,source-segegated,Rb,mg/kgTS,0.9707,6.7146,5.917276192438447,MSW_URB_PAP
paper & cardboard,source-segegated,Re,mg/kgTS,0.003733,0.018260424,3.8916217519421377,MSW_URB_PAP
paper & cardboard,source-segegated,Rh,mg/kgTS,0.000767,0.0012553039999999998,0.6366414602346804,MSW_URB_PAP
paper & cardboard,source-segegated,Ru,mg/kgTS,0.011133,0.011669671999999999,0.04820551513518355,MSW_URB_PAP
paper & cardboard,source-segegated,S,mg/kgTS,568.98,2823.5330699999995,3.9624469577138024,MSW_URB_PAP
paper & cardboard,source-segegated,Sb,mg/kgTS,0.0353,0.44556482999999997,11.62223314447592,MSW_URB_PAP
paper & cardboard,source-segegated,Sc,mg/kgTS,0.1442,0.7817787300000001,4.421489112343967,MSW_URB_PAP
paper & cardboard,source-segegated,Se,mg/kgTS,34.461,35.5399404,0.03130902759641335,MSW_URB_PAP
paper & cardboard,source-segegated,Si,mg/kgTS,292.82,620.46,1.118912642579059,MSW_URB_PAP
paper & cardboard,source-segegated,Sm,mg/kgTS,0.06103,0.6905,10.314107815828281,MSW_URB_PAP
paper & cardboard,source-segegated,Sn,mg/kgTS,0.039,1.104397,27.3178717948718,MSW_URB_PAP
paper & cardboard,source-segegated,Sr,mg/kgTS,18.715,178.524,8.539086294416244,MSW_URB_PAP
paper & cardboard,source-segegated,Ta,mg/kgTS,0.0018,0.005751267,2.195148333333333,MSW_URB_PAP
paper & cardboard,source-segegated,Tb,mg/kgTS,0.009133,0.0835,8.142669440490529,MSW_URB_PAP
paper & cardboard,source-segegated,Th,mg/kgTS,0.13817,1.78235896,11.899753636824205,MSW_URB_PAP
paper & cardboard,source-segegated,Ti,mg/kgTS,7.417054,44.13,4.94980163283158,MSW_URB_PAP
paper & cardboard,source-segegated,Tl,mg/kgTS,0.01293,0.05144386,2.978643464810518,MSW_URB_PAP
paper & cardboard,source-segegated,Tm,mg/kgTS,0.00493,0.0352,6.139959432048681,MSW_URB_PAP
paper & cardboard,source-segegated,U,mg/kgTS,0.04123,0.6733,15.330341983992238,MSW_URB_PAP
paper & cardboard,source-segegated,V,mg/kgTS,0.58293,2.9016505599999998,3.9776998267373447,MSW_URB_PAP
paper & cardboard,source-segegated,VS,%TS,68.215,93.62,0.37242541962911385,MSW_URB_PAP
paper & cardboard,source-segegated,W,mg/kgTS,0.02153,0.89612589,40.6221964700418,MSW_URB_PAP
paper & cardboard,source-segegated,Yb,mg/kgTS,0.0284,0.196633,5.923697183098591,MSW_URB_PAP
paper & cardboard,source-segegated,Zn,mg/kgTS,7.522,50.942477000000004,5.772464371177879,MSW_URB_PAP
paper & cardboard,source-segegated,Zr,mg/kgTS,2.3211969999999997,43.89,17.908347718870914,MSW_URB_PAP
paper & cardboard,source-segegated,ash,%TS,6.38,31.785,3.981974921630094,MSW_URB_PAP
plastic,residual,Ag,mg/kgTS,4.5648,30.2704,5.631265334735366,MSW_URB_PLA
plastic,residual,Al,mg/kgTS,287.5,55994.2,193.7624347826087,MSW_URB_PLA
plastic,residual,As,mg/kgTS,2.07557,4.1122,0.9812388885944583,MSW_URB_PLA
plastic,residual,Au,mg/kgTS,0.048667,0.065767,0.3513674563872851,MSW_URB_PLA
plastic,residual,Ba,mg/kgTS,22.85,2264.44,98.10021881838074,MSW_URB_PLA
plastic,residual,Be,mg/kgTS,0.21703,5.58823,24.748652260056215,MSW_URB_PLA
plastic,residual,Br,%TS,0.001,0.066471,65.471,MSW_URB_PLA
plastic,residual,C,%TS,63.9833,84.6033,0.3222715927437316,MSW_URB_PLA
plastic,residual,Ca,mg/kgTS,577.2,11827.2,19.49064449064449,MSW_URB_PLA
plastic,residual,Cd,mg/kgTS,0.4402,5.129,10.651522035438436,MSW_URB_PLA
plastic,residual,Ce,mg/kgTS,0.55293,3.73043,5.746658709059013,MSW_URB_PLA
plastic,residual,Cl,%TS,0.02083,3.05173,145.5064810369659,MSW_URB_PLA
plastic,residual,Co,mg/kgTS,0.4754,10.4523,20.986327303323513,MSW_URB_PLA
plastic,residual,Cr,mg/kgTS,4.2216,78.4859,17.59150559029752,MSW_URB_PLA
plastic,residual,Cs,mg/kgTS,0.325967,0.7351,1.255136256124086,MSW_URB_PLA
plastic,residual,Cu,mg/kgTS,1.187,546.188,459.1415332771693,MSW_URB_PLA
plastic,residual,Dy,mg/kgTS,0.074633,0.097633,0.3081746680422868,MSW_URB_PLA
plastic,residual,Er,mg/kgTS,0.020567,0.074033,2.5996013030582974,MSW_URB_PLA
plastic,residual,Eu,mg/kgTS,0.0412,0.3483,7.4538834951456305,MSW_URB_PLA
plastic,residual,F,%TS,0.001,0.013033,12.032999999999998,MSW_URB_PLA
plastic,residual,Fe,mg/kgTS,316.4,15960.3,49.44342604298357,MSW_URB_PLA
plastic,residual,Ga,mg/kgTS,0.6673,21.9258,31.85748538888056,MSW_URB_PLA
plastic,residual,Gd,mg/kgTS,0.1009,0.3593,2.5609514370664024,MSW_URB_PLA
plastic,residual,Ge,mg/kgTS,0.538133,0.9223,0.7138885740142308,MSW_URB_PLA
plastic,residual,H,%TS,5.2023,15.9497,2.0658939315302844,MSW_URB_PLA
plastic,residual,HHV,MJ/kgTS,24.0521,45.2161,0.8799231667920888,MSW_URB_PLA
plastic,residual,Hf,mg/kgTS,0.1333,2.7911,19.93848462115529,MSW_URB_PLA
plastic,residual,Hg,μg/kgTS,2.4,9.6,3.0,MSW_URB_PLA
plastic,residual,Ho,mg/kgTS,0.019767,0.029433,0.4889968128699348,MSW_URB_PLA
plastic,residual,In,mg/kgTS,0.0136,0.018933,0.39213235294117643,MSW_URB_PLA
plastic,residual,Ir,mg/kgTS,0.012267,0.024033,0.9591587185130838,MSW_URB_PLA
plastic,residual,K,mg/kgTS,196.79,1108.79,4.634381828344936,MSW_URB_PLA
plastic,residual,LHV,MJ/kgTS,22.909206713,41.712110407,0.820757520308643,MSW_URB_PLA
plastic,residual,La,mg/kgTS,0.1011,1.49903,13.827200791295748,MSW_URB_PLA
plastic,residual,Li,mg/kgTS,0.2563,5.119,18.97268825595006,MSW_URB_PLA
plastic,residual,Lu,mg/kgTS,0.0118,0.0164,0.3898305084745764,MSW_URB_PLA
plastic,residual,Mg,mg/kgTS,63.15,7274.65,114.1963578780681,MSW_URB_PLA
plastic,residual,Mn,mg/kgTS,3.5388,99.6102,27.14801627670397,MSW_URB_PLA
plastic,residual,Mo,mg/kgTS,0.29487,8.2066,26.831247668464066,MSW_URB_PLA
plastic,residual,N,%TS,0.15823,0.755,3.771535107122543,MSW_URB_PLA
plastic,residual,Na,mg/kgTS,146.57,2761.8,17.84287371221942,MSW_URB_PLA
plastic,residual,Nb,mg/kgTS,0.31643,7.3226,22.141295073159945,MSW_URB_PLA
plastic,residual,Nd,mg/kgTS,0.067,5.6297,83.02537313432835,MSW_URB_PLA
plastic,residual,Ni,mg/kgTS,7.965,213.745,25.835530445699938,MSW_URB_PLA
plastic,residual,O,%TS,10.2178,27.5893,1.7001213568478537,MSW_URB_PLA
plastic,residual,P,mg/kgTS,19.068,993.296,51.092301237675684,MSW_URB_PLA
plastic,residual,Pb,mg/kgTS,0.747,219.009,292.18473895582326,MSW_URB_PLA
plastic,residual,Pd,mg/kgTS,0.100867,0.281967,1.7954335907680414,MSW_URB_PLA
plastic,residual,Pr,mg/kgTS,0.02413,1.60993,65.71902196435973,MSW_URB_PLA
plastic,residual,Pt,mg/kgTS,0.014733,0.050233,2.409556777302654,MSW_URB_PLA
plastic,residual,Rb,mg/kgTS,1.20003,3.7968,2.163920901977451,MSW_URB_PLA
plastic,residual,Re,mg/kgTS,0.011833,0.090167,6.619961125665512,MSW_URB_PLA
plastic,residual,Rh,mg/kgTS,0.018867,0.021233,0.12540414480309536,MSW_URB_PLA
plastic,residual,Ru,mg/kgTS,0.3731,0.4197,0.12489949075314938,MSW_URB_PLA
plastic,residual,S,mg/kgTS,211.91,2020.74,8.53584068708414,MSW_URB_PLA
plastic,residual,Sb,mg/kgTS,0.453,270.889,596.9889624724062,MSW_URB_PLA
plastic,residual,Sc,mg/kgTS,1.24053,1.39557,0.12497883968948761,MSW_URB_PLA
plastic,residual,Se,mg/kgTS,0.0,3.01407,,MSW_URB_PLA
plastic,residual,Si,mg/kgTS,1953.3,19375.1,8.919162443045103,MSW_URB_PLA
plastic,residual,Sm,mg/kgTS,0.071367,0.168,1.3540291731472531,MSW_URB_PLA
plastic,residual,Sn,mg/kgTS,1.4,109.249,77.035,MSW_URB_PLA
plastic,residual,Sr,mg/kgTS,2.2743,68.3016,29.03192191003825,MSW_URB_PLA
plastic,residual,Ta,mg/kgTS,0.0569,3.42453,59.18506151142355,MSW_URB_PLA
plastic,residual,Tb,mg/kgTS,0.037333,0.041967,0.12412610826882381,MSW_URB_PLA
plastic,residual,Th,mg/kgTS,0.089567,0.5205,4.811292105351301,MSW_URB_PLA
plastic,residual,Ti,mg/kgTS,388.03,7531.3,18.409066309305985,MSW_URB_PLA
plastic,residual,Tl,mg/kgTS,0.202233,0.339067,0.6766155869714636,MSW_URB_PLA
plastic,residual,Tm,mg/kgTS,0.0118,0.028133,1.3841525423728813,MSW_URB_PLA
plastic,residual,U,mg/kgTS,0.135033,0.2472,0.8306636155606409,MSW_URB_PLA
plastic,residual,V,mg/kgTS,0.36373,6.45017,16.733401149204077,MSW_URB_PLA
plastic,residual,VS,%TS,87.88,98.9733,0.12623236231224397,MSW_URB_PLA
plastic,residual,W,mg/kgTS,0.548,31.049,55.65875912408758,MSW_URB_PLA
plastic,residual,Yb,mg/kgTS,0.0933,0.1049,0.12433011789924973,MSW_URB_PLA
plastic,residual,Zn,mg/kgTS,6.58,1171.4,177.02431610942253,MSW_URB_PLA
plastic,residual,Zr,mg/kgTS,1.0391,13.0136,11.523914926378598,MSW_URB_PLA
plastic,residual,ash,%TS,1.0267,12.12,10.804811532093114,MSW_URB_PLA
plastic,source-segegated,Ag,mg/kgTS,4.6428,4.9773,0.07204704057896083,MSW_URB_PLA
plastic,source-segegated,Al,mg/kgTS,7.8,2463.6,314.8461538461538,MSW_URB_PLA
plastic,source-segegated,As,mg/kgTS,2.11103,5.12713,1.428733840826516,MSW_URB_PLA
plastic,source-segegated,Au,mg/kgTS,0.0498,0.273867,4.499337349397591,MSW_URB_PLA
plastic,source-segegated,Ba,mg/kgTS,4.13,466.78,112.02179176755448,MSW_URB_PLA
plastic,source-segegated,Be,mg/kgTS,0.2153,0.23083,0.07213190896423603,MSW_URB_PLA
plastic,source-segegated,Br,%TS,0.001,0.002,1.0,MSW_URB_PLA
plastic,source-segegated,C,%TS,63.6067,88.75,0.3952932631310853,MSW_URB_PLA
plastic,source-segegated,Ca,mg/kgTS,221.9,17977.5,80.01622352410995,MSW_URB_PLA
plastic,source-segegated,Cd,mg/kgTS,0.4478,50.7825,112.40442161679321,MSW_URB_PLA
plastic,source-segegated,Ce,mg/kgTS,0.54853,4.6979,7.564527008550124,MSW_URB_PLA
plastic,source-segegated,Cl,%TS,0.00377,2.4516,649.291777188329,MSW_URB_PLA
plastic,source-segegated,Co,mg/kgTS,0.3256,18.8847,56.99969287469287,MSW_URB_PLA
plastic,source-segegated,Cr,mg/kgTS,4.2024,47.0063,10.185584427945937,MSW_URB_PLA
plastic,source-segegated,Cs,mg/kgTS,0.333567,0.681,1.0415688602289797,MSW_URB_PLA
plastic,source-segegated,Cu,mg/kgTS,1.011,46.003,44.502472799208704,MSW_URB_PLA
plastic,source-segegated,Dy,mg/kgTS,0.0759,0.115633,0.5234914361001318,MSW_URB_PLA
plastic,source-segegated,Er,mg/kgTS,0.020933,0.167633,7.008073376964601,MSW_URB_PLA
plastic,source-segegated,Eu,mg/kgTS,0.041867,0.104067,1.4856569613299258,MSW_URB_PLA
plastic,source-segegated,F,%TS,0.001,0.0024,1.3999999999999997,MSW_URB_PLA
plastic,source-segegated,Fe,mg/kgTS,89.6,2035.2,21.71428571428572,MSW_URB_PLA
plastic,source-segegated,Ga,mg/kgTS,0.6648,4.801,6.2217208182912165,MSW_URB_PLA
plastic,source-segegated,Gd,mg/kgTS,0.102633,0.1464,0.42644178772909297,MSW_URB_PLA
plastic,source-segegated,Ge,mg/kgTS,0.5474,0.5868,0.07197661673364997,MSW_URB_PLA
plastic,source-segegated,H,%TS,4.861,14.9403,2.0735033943633,MSW_URB_PLA
plastic,source-segegated,HHV,MJ/kgTS,24.2674,45.145,0.8603146608206897,MSW_URB_PLA
plastic,source-segegated,Hf,mg/kgTS,0.13227,0.25263,0.9099569063279657,MSW_URB_PLA
plastic,source-segegated,Hg,μg/kgTS,2.4,6.16667,1.5694458333333334,MSW_URB_PLA
plastic,source-segegated,Ho,mg/kgTS,0.020067,0.027533,0.37205362037175443,MSW_URB_PLA
plastic,source-segegated,In,mg/kgTS,0.013733,0.016267,0.1845190417243137,MSW_URB_PLA
plastic,source-segegated,Ir,mg/kgTS,0.012467,0.013367,0.07219058313948823,MSW_URB_PLA
plastic,source-segegated,K,mg/kgTS,200.15,214.57,0.07204596552585554,MSW_URB_PLA
plastic,source-segegated,LHV,MJ/kgTS,23.199486909999997,41.862765493000005,0.8044694546651942,MSW_URB_PLA
plastic,source-segegated,La,mg/kgTS,0.05817,1.43253,23.62661165549252,MSW_URB_PLA
plastic,source-segegated,Li,mg/kgTS,0.2562,15.2619,58.570257611241225,MSW_URB_PLA
plastic,source-segegated,Lu,mg/kgTS,0.012033,0.014967,0.24382946896035892,MSW_URB_PLA
plastic,source-segegated,Mg,mg/kgTS,6.94,955.0,136.60806916426512,MSW_URB_PLA
plastic,source-segegated,Mn,mg/kgTS,0.9005,28.9761,31.177790116601887,MSW_URB_PLA
plastic,source-segegated,Mo,mg/kgTS,0.2711,3.5776,12.196606418295831,MSW_URB_PLA
plastic,source-segegated,N,%TS,0.1575,6.9175,42.920634920634924,MSW_URB_PLA
