,LOCATION,TIME,MSW_GEN_T,INC_T,INC%,DIS%,RCY%,Scenario
0,AUT,2022,5324482.064421909,2076487.10409426,0.38998856207429233,0.0013275813554807,0.6086838565702269,REC
1,AUT,2023,5329551.256535457,2063393.3123792398,0.3871607970462742,0.0009771722059157,0.6118620307478101,REC
2,AUT,2024,5348510.751017814,2055115.5788103018,0.3842407119438278,0.0007190880355785,0.6150402000205937,REC
3,AUT,2025,5387067.405212305,2053833.2120847239,0.3812525549796387,0.0005290785028371,0.6182183665175242,REC
4,AUT,2026,5446700.126876468,2060019.5499370643,0.37821424017305477,0.0003892283834304,0.6213965314435148,REC
5,AUT,2027,5504503.438809195,2064953.8386347198,0.3751389860302163,0.0002863184892968,0.6245746954804869,REC
6,AUT,2028,5555774.489990081,2066951.1052758512,0.3720365376600341,0.0002106033256021,0.6277528590143638,REC
7,AUT,2029,5602398.674126707,2066803.72347594,0.3689140747910287,0.0001549029454245,0.6309310222635468,REC
8,AUT,2030,5646854.873584284,2065488.9832739332,0.36577688456917695,0.0001139300791925,0.6341091853516305,REC
9,AUT,2031,5690703.485239145,2063613.312175719,0.36262885907312353,8.379257832119151e-05,0.6372873483485553,REC
10,AUT,2032,5734967.546007124,2061565.201110763,0.3594728626748888,6.162603121236696e-05,0.6404655112938988,REC
11,AUT,2033,5780171.114824437,2059538.5674644741,0.35631100300514706,4.532278479672172e-05,0.6436436742100562,REC
12,AUT,2034,5827531.123858098,2057962.4919021246,0.35314483066023633,3.3332230063792444e-05,0.6468218371096999,REC
13,AUT,2035,5875450.457835216,2056263.6312447395,0.3499754863054978,2.4513694502165637e-05,0.65,REC
14,AUT,2036,5923870.668073492,2073247.937515859,0.3499819718701087,1.8028129891244856e-05,0.65,REC
15,AUT,2037,5972618.050764796,2090337.1304743297,0.3499867416110195,1.325838898045055e-05,0.65,REC
16,AUT,2038,6021318.479527434,2107402.75661714,0.34999024944160295,9.750558397004408e-06,0.65,REC
17,AUT,2039,6069993.187951466,2124454.0891140667,0.3499928292062942,7.170793705743528e-06,0.65,REC
18,AUT,2040,6118324.665633045,2141381.367593367,0.3499947264357546,5.273564245418473e-06,0.65,REC
19,AUT,2041,6166043.592429676,2158091.3436210807,0.3499961217060912,3.8782939088121065e-06,0.65,REC
20,AUT,2042,6213233.277263592,2174613.925787834,0.34999714782084745,2.8521791525068397e-06,0.65,REC
21,AUT,2043,6259795.809379246,2190915.4030397995,0.3499979024486842,2.097551315809312e-06,0.65,REC
22,AUT,2044,6305726.829906028,2206994.6633683,0.34999845741830055,1.5425816994059686e-06,0.65,REC
23,AUT,2045,6351264.956899564,2222935.5297515346,0.3499988655546003,1.134445399700897e-06,0.65,REC
24,AUT,2046,6396050.1960486965,2238612.2324333657,0.34999916570641026,8.342935897256616e-07,0.65,REC
25,AUT,2047,6439995.166379217,2253994.356935753,0.34999938644410894,6.13555891033937e-07,0.65,REC
26,AUT,2048,6482795.41398585,2268975.469721699,0.3499995487790125,4.512209874782198e-07,0.65,REC
