,LOCATION,TIME,GDPVD_CAP,POP,MSW_GEN_T,INC_T,INC%,DIS%,RCY%,MSW_GEN_CAP_KG/PS
0,AUT,2010,48792.8812773596,8361069.0,4701000.0,1636000.0,0.35704932343954604,0.033391532082060235,0.6093408991706678,562.0
1,AUT,2011,50113.4682973272,8388534.0,4807000.0,1678000.0,0.36226252158894645,0.049654576856649396,0.5880829015544041,573.0
2,AUT,2012,50249.3662168422,8426311.0,4883000.0,1693000.0,0.35883849088596864,0.04387452310300975,0.5972869860110216,579.0
3,AUT,2013,49942.8732767236,8477230.0,4905000.0,1716000.0,0.3617200674536256,0.04194772344013491,0.5963322091062394,578.0
4,AUT,2014,49950.5788214714,8543932.0,4833000.0,1756000.0,0.37577573293387545,0.0415150866680933,0.5827091803980312,565.0
5,AUT,2015,49945.122276133,8629519.0,4836000.0,1833000.0,0.3876903553299492,0.030456852791878174,0.5820642978003384,560.0
6,AUT,2016,50289.4773377988,8739806.0,4928000.0,1855000.0,0.3844559585492228,0.027357512953367875,0.5881865284974094,564.0
7,AUT,2017,51147.2793693204,8795073.0,5018000.0,1944000.0,0.3932038834951456,0.020833333333333332,0.5861650485436893,570.0
8,AUT,2018,52113.4350915798,8837707.0,5119000.0,1977000.0,0.39218409045824243,0.02241618726443166,0.5855980956159492,579.0
9,AUT,2019,52632.8408696325,8877637.0,5220000.0,2004000.0,0.3892017867547097,0.020586521654690233,0.5904059040590406,588.0
10,AUT,2020,48877.5774871477,8916845.0,7438000.0,2669000.0,0.3588330196289325,0.018418929819844044,0.6227480505512234,834.0
11,AUT,2021,50809.2567171658,8951520.0,7476000.0,2654000.0,0.3550026752273943,0.020331728196896735,0.624665596575709,835.0
12,AUT,2022,52668.491305956,9052872.0,5324482.064421909,2093409.1746129948,0.39316672481650683,0.0013275813554807952,0.6055056938280123,588.1539100985752
13,AUT,2023,52274.8493575466,9087824.43118586,5329551.256535457,2097269.675484858,0.39351712264949956,0.0009771722059157331,0.6055057051445847,586.4496279490745
14,AUT,2024,52491.3730964136,9105577.83916622,5348510.751017814,2106110.8930855826,0.3937752004489835,0.0007190880355785096,0.605505711515438,587.3883948377257
15,AUT,2025,53137.3945548799,9127989.59486316,5387067.405212305,2122317.122159033,0.39396520639514676,0.000529078502837181,0.605505715102016,590.1701956632285
