LOCATION,TIME,MSW_GEN_T,INC_T,INC%,DIS%,RCY%,Scenario
AUT,2010,4701000.0,1636000.0,0.357049323439546,0.0333915320820602,0.6093408991706678,OBS
AUT,2011,4807000.0,1678000.0,0.3622625215889464,0.0496545768566493,0.5880829015544041,OBS
AUT,2012,4883000.0,1693000.0,0.3588384908859686,0.0438745231030097,0.5972869860110216,OBS
AUT,2013,4905000.0,1716000.0,0.3617200674536256,0.0419477234401349,0.5963322091062394,OBS
AUT,2014,4833000.0,1756000.0,0.3757757329338754,0.0415150866680933,0.5827091803980312,OBS
AUT,2015,4836000.0,1833000.0,0.3876903553299492,0.0304568527918781,0.5820642978003384,OBS
AUT,2016,4928000.0,1855000.0,0.3844559585492228,0.0273575129533678,0.5881865284974094,OBS
AUT,2017,5018000.0,1944000.0,0.3932038834951456,0.0208333333333333,0.5861650485436893,OBS
AUT,2018,5119000.0,1977000.0,0.3921840904582424,0.0224161872644316,0.5855980956159492,OBS
AUT,2019,5220000.0,2004000.0,0.3892017867547097,0.0205865216546902,0.5904059040590406,OBS
AUT,2020,7438000.0,2669000.0,0.3588330196289325,0.018418929819844,0.6227480505512234,OBS
AUT,2021,7476000.0,2654000.0,0.3550026752273943,0.0203317281968967,0.624665596575709,OBS
AUT,2022,5324482.064421909,2093409.1746129948,0.3931667248165068,0.0013275813554807,0.6055056938280123,BAU
AUT,2023,5329551.256535457,2097269.675484858,0.3935171226494995,0.0009771722059157,0.6055057051445847,BAU
AUT,2024,5348510.751017814,2106110.893085582,0.3937752004489835,0.0007190880355785,0.605505711515438,BAU
AUT,2025,5387067.405212305,2122317.122159033,0.3939652063951467,0.0005290785028371,0.605505715102016,BAU
AUT,2026,5446700.126876468,2146572.0503229136,0.3941050544954295,0.0003892283834304,0.60550571712114,BAU
AUT,2027,5504503.438809195,2169919.089331357,0.3942079632528636,0.0002863184892968,0.6055057182578395,BAU
AUT,2028,5555774.489990081,2190551.198810894,0.3942836777766343,0.0002106033256021,0.6055057188977635,BAU
AUT,2029,5602398.674126707,2209246.407323377,0.3943393777965562,0.0001549029454245,0.6055057192580192,BAU
AUT,2030,5646854.873584284,2227008.6040407945,0.3943803504599762,0.0001139300791925,0.6055057194608313,BAU
AUT,2031,5690703.485239145,2244473.137803923,0.3944104878466711,8.379257832119151e-05,0.6055057195750078,BAU
AUT,2032,5734967.546007124,2262058.4716651416,0.3944326543295022,6.162603121236696e-05,0.6055057196392853,BAU
AUT,2033,5780171.114824437,2279982.470643769,0.3944489575397318,4.532278479672172e-05,0.6055057196754714,BAU
AUT,2034,5827531.123858098,2298733.4520483515,0.3944609480740932,3.3332230063792444e-05,0.605505719695843,BAU
AUT,2035,5875450.457835216,2317687.570761465,0.3944697665981864,2.4513694502165637e-05,0.6055057197073114,BAU
AUT,2036,5923870.668073492,2336826.2994005107,0.3944762521563409,1.8028129891244856e-05,0.6055057197137678,BAU
AUT,2037,5972618.050764796,2356084.472045959,0.3944810218936169,1.325838898045055e-05,0.6055057197174026,BAU
AUT,2038,6021318.479527434,2375316.9887036965,0.3944845297221542,9.750558397004408e-06,0.6055057197194488,BAU
AUT,2039,6069993.187951466,2394534.067312824,0.3944871094856935,7.170793705743528e-06,0.6055057197206007,BAU
AUT,2040,6118324.665633045,2413611.8201024374,0.3944890067145052,5.273564245418473e-06,0.6055057197212493,BAU
AUT,2041,6166043.592429676,2432445.0154313906,0.3944904019844768,3.8782939088121065e-06,0.6055057197216144,BAU
AUT,2042,6213233.277263592,2451067.268660115,0.3944914280990275,2.8521791525068397e-06,0.60550571972182,BAU
AUT,2043,6259795.809379246,2469440.512265773,0.3944921827267486,2.097551315809312e-06,0.6055057197219356,BAU
AUT,2044,6305726.829906028,2487563.440294639,0.3944927376962999,1.5425816994059686e-06,0.6055057197220007,BAU
AUT,2045,6351264.956899564,2505530.492863425,0.3944931458325628,1.134445399700897e-06,0.6055057197220375,BAU
AUT,2046,6396050.1960486965,2523199.8825281416,0.3944934459843522,8.342935897256616e-07,0.605505719722058,BAU
AUT,2047,6439995.166379217,2540537.3068571463,0.3944936667220392,6.13555891033937e-07,0.6055057197220698,BAU
AUT,2048,6482795.41398585,2557422.785856025,0.3944938290569363,4.512209874782198e-07,0.6055057197220762,BAU
AUT,2049,6524609.084775407,2573918.7998885484,0.3944939484412266,3.3183669333141785e-07,0.60550571972208,BAU
AUT,2050,6565479.873628894,2590042.6551923133,0.3944940362387763,2.440391416865074e-07,0.605505719722082,BAU
BEL,2010,4972000.0,1940000.0,0.4087652760219132,0.0170670037926675,0.5743784239359461,OBS
BEL,2011,5023000.0,2004000.0,0.4194223524487233,0.0085809962327333,0.5717873587275011,OBS
BEL,2012,4944000.0,2047000.0,0.4340542832909245,0.006785411365564,0.5593723494486853,OBS
BEL,2013,4867000.0,2131000.0,0.4492936959730129,0.0088551549652118,0.5418511490617752,OBS
BEL,2014,4762000.0,2078000.0,0.4436379163108454,0.0098206660973526,0.5465414175918019,OBS
BEL,2015,4643000.0,2050000.0,0.4481853957149103,0.0087450808919982,0.5430695233930913,OBS
BEL,2016,4746000.0,2113000.0,0.4446548821548821,0.0079966329966329,0.5347222222222222,OBS
BEL,2017,4672000.0,2002000.0,0.4322107081174439,0.0088514680483592,0.5433937823834197,OBS
BEL,2018,4677000.0,2022000.0,0.4323284156510584,0.0098353645499251,0.5435107975197776,OBS
BEL,2019,4779000.0,2047000.0,0.4283322870893492,0.0092069470600544,0.54676710608914,OBS
BEL,2020,8408000.0,4112000.0,0.489058039961941,0.0051141769743101,0.513558515699334,OBS
BEL,2021,8753000.0,3852000.0,0.4400776876499486,0.0045698617616817,0.5553524505883697,OBS
BEL,2022,4910860.782157993,2186783.8299722103,0.4452954231399054,0.0044826292440963,0.5502219476159982,BAU
BEL,2023,4955652.328453519,2210192.328151362,0.4459942267259663,0.003783479390052,0.5502222938839816,BAU
BEL,2024,4989428.937538631,2228199.8684504144,0.4465841474735228,0.0031933518760465,0.5502225006504307,BAU
BEL,2025,5031683.480868083,2249575.732808764,0.4470821229837491,0.0026952528997499,0.5502226241165009,BAU
BEL,2026,5077566.501929753,2272223.5335073383,0.4475024665149671,0.0022748356434817,0.5502226978415511,BAU
BEL,2027,5122908.542312502,2294331.8322155923,0.4478572696087839,0.0019199885263781,0.5502227418648379,BAU
BEL,2028,5167351.246884002,2315783.312496108,0.448156744500882,0.0016204873467478,0.55022276815237,BAU
