LOCATION,L1,k1,x01,L2,k2,x02
AUT,0.40699694376858575,-0.3073145468889291,2003.38005587284,0.6055057197220847,0.5745348511317288,1992.467308615268
BEL,15.044117006488614,-0.1696121853831655,1974.1364900185397,0.5502228071151439,0.5156241075628504,1996.0712618572056
CZE,1.9132454932300111,-0.04853039049957256,1996.4944535924992,0.4635893712381351,0.2225541435176862,2012.777535761136
DNK,0.31953876972064055,-0.15268254493571165,1994.221624935483,0.6231556057157827,0.0551846850501587,1993.141033783458
FIN,0.6078248791709074,-0.4434823076038659,2011.8419685355573,0.588149632793907,0.020379651853481735,1987.7975406395742
FRA,0.9518603530487072,-0.04533703287005239,1994.1003444248893,0.5389352854972379,0.08409867183452761,2002.451532646699
DEU,0.41140114195063415,-0.4334102104455819,2002.041897443132,0.6934688574720124,0.14445291397883137,1992.7767081532236
GRC,1.8144433170847056,-0.013884811415451807,1999.4617276881845,0.22597859898449804,0.11976652899546784,2002.8957960308974
HUN,1.0275749292532126,-0.10074825499829271,2018.1678789757977,0.4199060146826993,0.2186438262100291,2010.6086408367846
ISL,1.6303809311513326,-0.022566660889506502,1996.3164541310925,0.370869834023468,0.13735585432352207,2007.0520334560922
IRL,1.0099684686577275,-0.17661332647666153,2009.699644902248,0.4202735712456224,0.3279274957855894,2002.5142586981071
ITA,1.038104914054971,-0.1256081566581355,2008.700967240871,0.7564423795973185,0.13472978996828286,2011.3448060782298
LUX,0.5508471761460478,-0.07940205727044068,1994.8646773754435,0.49286580557554754,0.24806605121795508,1996.6747226581908
NLD,18.740095181935516,-0.23508703908129996,1977.1309485462482,0.540255510552366,0.3807710192850437,1991.7877898521524
NOR,1.821363384966701,-0.1727587571420745,1993.2032451384864,0.425817798041124,0.5386779679190983,1996.6361844825828
POL,0.9934135047930315,-0.21419861330556147,2017.0248895853356,0.606428907988877,0.178709250759375,2016.1891798180225
PRT,5.713112226877587,-0.03159983007506098,1941.7378510289634,0.531621991449286,0.09746346156808369,2014.7345272454081
SVK,1.8070703425949959,-0.03053935754078113,1996.4393383663908,0.5727203991195419,0.17713168755202324,2017.0214402121028
ESP,1.4920136579508245,-0.029578020934855228,1995.9561595110129,0.3551661065688913,0.21752598838085718,1997.5060584612388
SWE,0.38706137770545584,-0.3388542021736229,2001.0507845851066,0.4650281262229891,0.2767747568738165,1994.0058427673043
CHE,0.2725900761694296,-0.28845740791594376,1995.4057838478645,0.5325216152914897,0.13599417809581807,1987.263830866149
GBR,0.9261396986491269,-0.19425019969110938,2009.7658003140718,0.4610052092280765,0.2842558159047932,2003.8039044231189
BGR,1.8266554358555298,-0.03168112659993566,1996.4485260117049,0.34986699725081905,0.18483307836373306,2002.9211644073773
HRV,1.9070185806253097,-0.04554064898328805,2007.2756176818993,0.33843666258282007,0.35802674418091296,2013.9133170503392
EST,0.9957893162510566,-0.2702761932682263,2011.0793310843444,0.3221870275476054,0.4173427787588673,2004.8667327546723
LVA,1.008370452591242,-0.16666672889587186,2021.0804721967772,0.5747672669450973,0.23002835247981487,2016.030405672822
LTU,1.000556410964361,-0.3435850547437192,2015.1457267990315,0.5867840542117445,0.39654725341174496,2013.2062196627198
ROU,1.8788810865922811,-0.015684562765092162,2003.0913244816682,0.13415528537912072,0.3977019815676642,2007.2300895022433
SVN,0.9458700399701012,-0.2962705572805744,2012.114178097347,0.8702552174003878,0.23463345091108034,2011.5227914672435
CYP,1.870402080283036,-0.01594874731754096,2002.6090941504171,0.1943909422056968,0.2282126817694763,2008.726385212556
MLT,1.8162895761182165,-0.003142219566621115,1998.4205253735754,0.15238783307366055,0.033914677202385356,1986.5997613397465
EU27+4,1.3337997305975167,-0.06866068017157913,1995.2398348258112,0.5212170699431558,0.12021221683932974,1999.606759371838
